# cm1	omega	Tavg	eta_mean	(eta/omega)_mean	(eta/omega)_max	n_success	n1e-8	n1e-7	n1e-6	n1e-5	n1e-4
0.00000000	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0	0	0	0	0	0
21.25000000	1.936442482484e-04	2.677285559555e-03	2.197623762376e-06	1.134876859114e-02	5.164108973261e-01	101	96	0	1	2	2
42.50000000	3.872884964968e-04	6.399953949790e-03	1.089108910891e-07	2.812138549796e-04	2.582054486631e-02	101	100	0	0	1	0
63.75000000	5.809327447452e-04	2.666834580186e-02	1.000000000000e-08	1.721369657754e-05	1.721369657754e-05	101	101	0	0	0	0
85.00000000	7.745769929936e-04	1.557056611840e-01	1.000000000000e-08	1.291027243315e-05	1.291027243315e-05	101	101	0	0	0	0
106.25000000	9.682212412420e-04	1.538197965776e-01	1.187128712871e-07	1.226092407711e-04	1.032821794652e-02	101	99	0	1	1	0
127.50000000	1.161865489490e-03	1.872503935657e-01	1.000000000000e-08	8.606848288769e-06	8.606848288769e-06	101	101	0	0	0	0
148.75000000	1.355509737739e-03	2.084646504852e-01	1.000000000000e-08	7.377298533230e-06	7.377298533230e-06	101	101	0	0	0	0
170.00000000	1.549153985987e-03	2.239177502039e-01	1.980198019802e-08	1.278244795362e-05	6.455136216577e-04	101	100	0	1	0	0
191.25000000	1.742798234236e-03	5.633986894075e-01	2.176237623762e-07	1.248703137869e-04	5.737898859179e-03	101	98	0	1	2	0
212.50000000	1.936442482484e-03	7.522388420837e-01	2.176237623762e-07	1.123832824082e-04	5.164108973261e-03	101	98	0	1	2	0
233.75000000	2.130086730732e-03	8.007679445252e-01	1.285148514851e-07	6.033315434107e-05	4.694644521147e-03	101	98	0	2	1	0
255.00000000	2.323730978981e-03	6.231970349949e-01	1.392079207921e-07	5.990707274262e-05	4.303424144384e-03	101	96	1	3	1	0
276.25000000	2.517375227229e-03	6.042453111565e-01	4.350495049505e-07	1.728186963329e-04	3.972391517893e-03	101	94	0	3	4	0
297.50000000	2.711019475478e-03	5.751042715263e-01	3.067326732673e-07	1.131429250294e-04	3.688649266615e-03	101	98	0	0	3	0
