# omega_cm^-1	T_legacy_eigen_svd	T_generalized_eigen_svd
0.00000000	0.000000000000e+00	0.000000000000e+00
21.25000000	1.292384648098e-03	4.975703280002e+09
42.50000000	3.669372986435e-03	1.531630459692e+10
63.75000000	2.145263645638e-02	2.666835999141e-02
85.00000000	5.035257950727e-02	1.557057066067e-01
106.25000000	7.019090783057e-02	1.522810267845e-01
127.50000000	1.061627396962e-01	1.872505315701e-01
148.75000000	9.021196491007e-02	2.084644517517e-01
170.00000000	9.757343196921e-02	2.236266213064e-01
191.25000000	2.199962119602e-01	0.000000000000e+00
212.50000000	1.988970173015e-01	0.000000000000e+00
233.75000000	0.000000000000e+00	8.812544275845e+10
255.00000000	2.419870059946e-01	1.739990131581e+12
276.25000000	0.000000000000e+00	2.527274661340e+12
297.50000000	1.945475853323e+11	0.000000000000e+00
318.75000000	2.872623466998e+11	4.303775469702e+11
340.00000000	3.225167921073e+10	1.395108671382e+12
361.25000000	0.000000000000e+00	2.760782178450e+11
382.50000000	1.933300928385e+10	1.049422638821e+12
403.75000000	2.176137397105e+11	0.000000000000e+00
425.00000000	3.627819289557e-01	0.000000000000e+00
446.25000000	4.649530357278e-01	0.000000000000e+00
467.50000000	0.000000000000e+00	8.904865836153e-01
488.75000000	4.060452463528e+11	0.000000000000e+00
510.00000000	1.864073792594e+10	0.000000000000e+00
531.25000000	6.450072683742e+11	3.601338924917e+11
552.50000000	0.000000000000e+00	5.309614233021e+12
573.75000000	0.000000000000e+00	1.487522953316e+13
595.00000000	1.263487405016e+10	8.639064547153e+11
616.25000000	0.000000000000e+00	0.000000000000e+00
637.50000000	7.300667285984e-01	4.868481995301e-01
658.75000000	9.920728763404e-01	3.182859503861e-01
680.00000000	1.348571887033e+00	1.000282949887e+00
701.25000000	6.172405842468e-01	8.857595548787e-01
722.50000000	3.966775383425e-01	5.409284451646e-01
743.75000000	1.854023452180e-01	2.124039703478e-01
765.00000000	3.993123155170e-01	4.102753980355e-01
786.25000000	4.092424228202e-01	4.905827903552e-01
807.50000000	5.378636208496e-01	5.586273105002e-01
828.75000000	4.204442111746e-01	6.598224023574e-01
850.00000000	3.097779161850e-01	5.438944795754e-01
871.25000000	2.466200686238e-01	7.790002576364e-01
892.50000000	4.246611778078e-01	8.468072980799e-01
913.75000000	5.038093601614e-01	8.361569160604e-01
935.00000000	5.781404018675e-01	8.974598444637e-01
956.25000000	3.507613512056e-01	5.913566696115e-01
977.50000000	4.226162592872e-01	6.952462529365e-01
998.75000000	1.340253768221e-01	5.829547300317e-01
1020.00000000	1.293336424077e-01	5.470467055606e-01
1041.25000000	1.185563396800e-01	4.604983363981e-01
1062.50000000	1.298047658542e-01	3.267448101414e-01
1083.75000000	1.463820871075e-01	2.867274823704e-01
1105.00000000	8.745696744308e-02	4.556976007577e-01
1126.25000000	2.306486499010e-01	6.524900330664e-01
1147.50000000	2.085858766694e-01	7.705281220636e-01
1168.75000000	2.745275141767e-01	9.811779211207e-01
1190.00000000	4.196273131829e-01	8.969230851332e-01
1211.25000000	1.668791179886e-01	2.368221946264e-01
1232.50000000	0.000000000000e+00	0.000000000000e+00
1253.75000000	3.351124981512e-01	0.000000000000e+00
1275.00000000	2.350552992961e-01	6.522232853525e-01
1296.25000000	1.540520548176e-01	5.332283294773e-01
1317.50000000	8.153738157792e-02	2.958950300426e-01
1338.75000000	2.848180321362e-01	6.295724778853e-01
1360.00000000	0.000000000000e+00	4.650909262092e-01
1381.25000000	8.000655569838e-01	1.626274561858e+01
1402.50000000	2.905713523029e+12	0.000000000000e+00
1423.75000000	2.058907944777e+00	6.536207272487e+12
1445.00000000	8.877613496842e-01	3.428358658458e+13
1466.25000000	0.000000000000e+00	0.000000000000e+00
1487.50000000	1.484378390693e+12	0.000000000000e+00
1508.75000000	2.758345067667e-01	0.000000000000e+00
1530.00000000	2.651114564781e+12	7.565328324954e+12
1551.25000000	1.177929700066e+13	1.350713220717e+12
1572.50000000	0.000000000000e+00	0.000000000000e+00
1593.75000000	9.020520647584e-02	2.795956939521e-01
1615.00000000	3.120154659481e-04	3.120154659476e-04
1636.25000000	2.887701447568e-06	2.887701447495e-06
1657.50000000	4.305568940419e-08	4.305568940409e-08
1678.75000000	4.608726003803e-09	4.608726003819e-09
1700.00000000	9.006105552656e-10	9.006105552604e-10
