# omega_cm^-1	T_generalized_eigen_svd
0.00000000	0.000000000000e+00
21.25000000	2.669344525678e-03
42.50000000	9.854223057965e-03
63.75000000	3.707051888778e-02
85.00000000	9.668387047547e-02
106.25000000	1.235947030273e-01
127.50000000	1.537525124109e-01
148.75000000	1.871468350782e-01
170.00000000	2.364772886460e-01
191.25000000	3.235845063413e-01
212.50000000	4.009161584689e-01
233.75000000	4.454505309718e-01
255.00000000	4.739462873248e-01
276.25000000	5.010213034543e-01
297.50000000	5.274234105227e-01
318.75000000	5.416757412665e-01
340.00000000	5.614969345040e-01
361.25000000	6.255248778996e-01
382.50000000	7.090419626776e-01
403.75000000	7.727623171479e-01
425.00000000	8.246895193506e-01
446.25000000	8.517467275555e-01
467.50000000	7.339446259032e-01
488.75000000	6.056427913530e-01
510.00000000	5.850091574194e-01
531.25000000	5.950665367795e-01
552.50000000	6.379266939927e-01
573.75000000	6.990734118185e-01
595.00000000	7.709569985622e-01
616.25000000	8.692009817011e-01
637.50000000	1.035227447381e+00
658.75000000	1.110198144842e+00
680.00000000	1.112064517671e+00
701.25000000	1.046484439718e+00
722.50000000	9.581426233099e-01
743.75000000	8.859472372745e-01
765.00000000	7.956286612503e-01
786.25000000	6.989725567403e-01
807.50000000	6.343841761770e-01
828.75000000	6.353101330174e-01
850.00000000	6.337177860134e-01
871.25000000	6.358075873934e-01
892.50000000	6.419205525110e-01
913.75000000	6.372515957662e-01
935.00000000	6.207770249905e-01
956.25000000	5.898456290943e-01
977.50000000	5.384909378187e-01
998.75000000	4.863517313208e-01
1020.00000000	4.527570779648e-01
1041.25000000	4.076385986795e-01
1062.50000000	3.623304599262e-01
1083.75000000	3.661773544226e-01
1105.00000000	4.368991466533e-01
1126.25000000	5.390746989121e-01
1147.50000000	6.124562400380e-01
1168.75000000	6.299547946565e-01
1190.00000000	6.082833594065e-01
1211.25000000	5.852686087323e-01
1232.50000000	5.544515592481e-01
1253.75000000	5.372427876580e-01
1275.00000000	5.156409568263e-01
1296.25000000	4.613810982183e-01
1317.50000000	4.016839928696e-01
1338.75000000	4.642810569297e-01
1360.00000000	5.396101124703e-01
1381.25000000	5.880790399118e-01
1402.50000000	5.865669747259e-01
1423.75000000	5.807817610185e-01
1445.00000000	5.552593177011e-01
1466.25000000	4.912060772369e-01
1487.50000000	4.084382472353e-01
1508.75000000	3.465647195361e-01
1530.00000000	2.939032120352e-01
1551.25000000	2.404126119448e-01
1572.50000000	1.609258335837e-01
1593.75000000	6.008531831235e-02
1615.00000000	4.484338307556e-03
1636.25000000	4.145337702333e-04
1657.50000000	2.162412609578e-05
1678.75000000	3.063890982139e-06
1700.00000000	7.456166972671e-07
