# omega_cm^-1	T_legacy_eigen_svd
0.00000000	0.000000000000e+00
21.25000000	1.292448235255e-03
42.50000000	3.827681314238e-03
63.75000000	2.335343926590e-02
85.00000000	3.567566799888e-02
106.25000000	7.769002057881e-02
127.50000000	1.097577980917e-01
148.75000000	9.744684981718e-02
170.00000000	1.038259469618e-01
191.25000000	2.059340151026e-01
212.50000000	2.295917762573e-01
233.75000000	0.000000000000e+00
255.00000000	3.348139700637e-01
276.25000000	2.884105152026e-01
297.50000000	0.000000000000e+00
318.75000000	1.109038675309e+11
340.00000000	4.465878157539e+11
361.25000000	6.137557232087e+11
382.50000000	3.572509303996e+11
403.75000000	5.419068225889e-01
425.00000000	5.129104415231e-01
446.25000000	5.768615352207e-01
467.50000000	7.140615949223e-01
488.75000000	3.993041021985e-01
510.00000000	0.000000000000e+00
531.25000000	2.614593242690e+01
552.50000000	2.525184124132e+01
573.75000000	0.000000000000e+00
595.00000000	1.109404940950e+00
616.25000000	3.331754796429e+01
637.50000000	9.343139320027e-01
658.75000000	1.131350613636e+00
680.00000000	1.651353330179e+00
701.25000000	5.753143560387e-01
722.50000000	2.848715485086e-01
743.75000000	4.309022870904e-01
765.00000000	7.782033760809e-01
786.25000000	4.966486061513e-01
807.50000000	6.072064005077e-01
828.75000000	4.466360108747e-01
850.00000000	4.646076577903e-01
871.25000000	2.423954022233e-01
892.50000000	4.544561246351e-01
913.75000000	4.908247698979e-01
935.00000000	5.614980986147e-01
956.25000000	4.261054941900e-01
977.50000000	3.473761562955e-01
998.75000000	1.930054414613e-01
1020.00000000	1.159106728802e-01
1041.25000000	1.362855072078e-01
1062.50000000	1.440249908457e-01
1083.75000000	1.531942201161e-01
1105.00000000	1.501428607183e-01
1126.25000000	2.751577426576e-01
1147.50000000	2.378766237928e-01
1168.75000000	2.954205611409e-01
1190.00000000	4.326366044750e-01
1211.25000000	8.207856306425e-02
1232.50000000	4.039404939407e-01
1253.75000000	2.808733677509e-01
1275.00000000	2.265354657087e-01
1296.25000000	1.722654574571e-01
1317.50000000	8.088002317400e-02
1338.75000000	0.000000000000e+00
1360.00000000	2.051918722866e-01
1381.25000000	1.062770393740e+00
1402.50000000	0.000000000000e+00
1423.75000000	1.693062608777e+00
1445.00000000	1.019862486145e+00
1466.25000000	5.110852991329e-01
1487.50000000	8.062864840565e+12
1508.75000000	3.016982284264e-01
1530.00000000	2.620454299227e-01
1551.25000000	0.000000000000e+00
1572.50000000	0.000000000000e+00
1593.75000000	9.003648154439e-02
1615.00000000	2.854581595057e-04
1636.25000000	3.112780483353e-06
1657.50000000	4.559922243461e-08
1678.75000000	4.934535004479e-09
1700.00000000	9.776991396996e-10
