# omega_cm^-1	T_generalized_eigen_svd
0.00000000	0.000000000000e+00
21.25000000	2.677285559555e-03
42.50000000	6.399953949790e-03
63.75000000	2.666834580186e-02
85.00000000	1.557056611840e-01
106.25000000	1.538197965776e-01
127.50000000	1.872503935657e-01
148.75000000	2.084646504852e-01
170.00000000	2.239177502039e-01
191.25000000	5.633986894075e-01
212.50000000	7.522388420837e-01
233.75000000	8.007679445252e-01
255.00000000	6.231970349949e-01
276.25000000	6.042453111565e-01
297.50000000	5.751042715263e-01
318.75000000	5.511232500980e-01
340.00000000	5.582388629315e-01
361.25000000	5.225484734834e-01
382.50000000	9.466017653921e-01
403.75000000	8.385661751604e-01
425.00000000	1.335172708142e+00
446.25000000	1.201787628992e+00
467.50000000	1.402707823654e+00
488.75000000	9.079528789568e-01
510.00000000	8.429870780755e-01
531.25000000	7.900677710458e-01
552.50000000	8.510751844140e-01
573.75000000	9.617479869900e-01
595.00000000	2.158858670583e+00
616.25000000	2.343923723640e+00
637.50000000	1.261544818848e+00
658.75000000	1.474557123751e+00
680.00000000	1.826125749821e+00
701.25000000	1.146520833895e+00
722.50000000	7.995922065132e-01
743.75000000	1.044846456806e+00
765.00000000	6.816797271863e-01
786.25000000	6.939337877245e-01
807.50000000	6.365876211300e-01
828.75000000	7.806163805025e-01
850.00000000	6.361312716613e-01
871.25000000	7.790001610755e-01
892.50000000	8.468083203282e-01
913.75000000	8.776967003297e-01
935.00000000	8.974609012540e-01
956.25000000	8.407607548867e-01
977.50000000	7.414191390354e-01
998.75000000	5.829537375846e-01
1020.00000000	5.470455841323e-01
1041.25000000	4.604976310736e-01
1062.50000000	3.271295290853e-01
1083.75000000	2.867287997346e-01
1105.00000000	4.556962921027e-01
1126.25000000	7.038877134056e-01
1147.50000000	9.000171536606e-01
1168.75000000	9.811773020704e-01
1190.00000000	8.969248500197e-01
1211.25000000	6.921880705281e-01
1232.50000000	7.236719051807e-01
1253.75000000	7.571588025105e-01
1275.00000000	7.390840157667e-01
1296.25000000	5.418019503067e-01
1317.50000000	3.037368263603e-01
1338.75000000	1.412880813587e+00
1360.00000000	1.201643133182e+00
1381.25000000	2.709260468292e+00
1402.50000000	3.050495782628e+00
1423.75000000	1.948270368143e+00
1445.00000000	1.593441162719e+00
1466.25000000	2.197863352093e+00
1487.50000000	1.734608729864e+00
1508.75000000	6.385336462668e-01
1530.00000000	1.527209566103e+00
1551.25000000	1.012066029616e+00
1572.50000000	3.592739737160e-01
1593.75000000	3.567687918773e-01
1615.00000000	3.621590421414e-04
1636.25000000	2.918405567247e-06
1657.50000000	4.307415075590e-08
1678.75000000	4.609761328037e-09
1700.00000000	9.015774685078e-10
