# omega_cm^-1	T_generalized_eigen_svd
0.00000000	0.000000000000e+00
21.25000000	0.000000000000e+00
42.50000000	5.511834553031e+09
63.75000000	5.262410344332e-04
85.00000000	0.000000000000e+00
106.25000000	0.000000000000e+00
127.50000000	0.000000000000e+00
148.75000000	1.452604326443e-03
170.00000000	5.885293295517e-03
191.25000000	4.645239561835e+11
212.50000000	2.554505448783e+11
233.75000000	4.416260330729e+12
255.00000000	1.637468035903e+11
276.25000000	1.112480156195e+12
297.50000000	7.713572893686e+12
318.75000000	0.000000000000e+00
340.00000000	0.000000000000e+00
361.25000000	8.366733030552e+11
382.50000000	2.199950246050e+12
403.75000000	0.000000000000e+00
425.00000000	2.582324639251e-03
446.25000000	0.000000000000e+00
467.50000000	2.126128560276e-03
488.75000000	3.912437336092e+14
510.00000000	8.111534769426e+11
531.25000000	0.000000000000e+00
552.50000000	2.577330747331e+12
573.75000000	6.757683204867e+11
595.00000000	2.811746930323e+12
616.25000000	1.134983142856e+11
637.50000000	6.029387339933e-03
658.75000000	4.070634969259e-03
680.00000000	1.655699623880e-02
701.25000000	8.332389509428e-03
722.50000000	7.900636916817e-03
743.75000000	6.382694018359e-04
765.00000000	2.596747174266e-03
786.25000000	0.000000000000e+00
807.50000000	1.635662037375e-02
828.75000000	5.693851435669e-03
850.00000000	4.103681115076e-03
871.25000000	6.138208065017e-03
892.50000000	9.650859419943e-04
913.75000000	8.798988232334e-03
935.00000000	3.774643859762e-03
956.25000000	7.751815505329e-03
977.50000000	1.351545138349e-02
998.75000000	9.926679543025e-03
1020.00000000	4.670161180808e-03
1041.25000000	7.827672961781e-03
1062.50000000	1.674330213622e-03
1083.75000000	5.801908761039e-03
1105.00000000	1.014751374988e-02
1126.25000000	0.000000000000e+00
1147.50000000	1.691219670521e-02
1168.75000000	2.460331361165e-03
1190.00000000	2.261451846182e-02
1211.25000000	7.076130504995e-04
1232.50000000	9.388992147809e-03
1253.75000000	6.391038643148e-03
1275.00000000	5.366386980820e-03
1296.25000000	3.920470389802e-03
1317.50000000	0.000000000000e+00
1338.75000000	4.152736388420e-03
1360.00000000	5.050310298901e-03
1381.25000000	5.090279456200e-02
1402.50000000	0.000000000000e+00
1423.75000000	9.392703897273e-03
1445.00000000	0.000000000000e+00
1466.25000000	6.964151349126e+11
1487.50000000	0.000000000000e+00
1508.75000000	3.269963450591e+12
1530.00000000	6.347239018131e+12
1551.25000000	0.000000000000e+00
1572.50000000	0.000000000000e+00
1593.75000000	2.939365143425e-03
1615.00000000	3.061330424646e-04
1636.25000000	8.463109242258e-04
1657.50000000	0.000000000000e+00
1678.75000000	4.228918118167e-05
1700.00000000	1.776113938664e-04
