# omega_cm^-1	kpar	eta	T	reason
69.30777833	(-0.5235987755982991, -0.5235987755982991)	1.000e-08	3.458404931153e+01	over_channel_limit
69.30777833	(-0.5235987755982991, -0.5235987755982991)	1.000e-07	3.399006318780e+01	over_channel_limit
69.30777833	(-0.5235987755982991, -0.5235987755982991)	1.000e-06	2.852336309994e+01	over_channel_limit
69.30777833	(0.5235987755982987, 0.5235987755982987)	1.000e-08	3.471725482402e+01	over_channel_limit
69.30777833	(0.5235987755982987, 0.5235987755982987)	1.000e-07	3.532215173940e+01	over_channel_limit
69.30777833	(0.5235987755982987, 0.5235987755982987)	1.000e-06	4.187722646316e+01	over_channel_limit
69.30777833	(0.5235987755982987, 0.5235987755982987)	1.000e-05	1.256255426408e+02	over_channel_limit
103.96166749	(-1.5707963267948966, -1.5707963267948966)	1.000e-08	-2.494876521040e+11	negative
103.96166749	(-1.5707963267948966, -1.5707963267948966)	1.000e-07	-3.030690479360e+11	negative
103.96166749	(-1.5707963267948966, -1.5707963267948966)	1.000e-06	-9.602892904960e+11	negative
103.96166749	(-1.5707963267948966, -1.5707963267948966)	1.000e-05	4.344859047500e+08	over_channel_limit
103.96166749	(1.5707963267948966, 1.5707963267948966)	1.000e-08	-2.812883048500e+10	negative
103.96166749	(1.5707963267948966, 1.5707963267948966)	1.000e-07	-6.738595684200e+10	negative
103.96166749	(1.5707963267948966, 1.5707963267948966)	1.000e-06	-2.507361090000e+10	negative
103.96166749	(1.5707963267948966, 1.5707963267948966)	1.000e-05	-1.283010441875e+08	negative
121.28861207	(-0.7853981633974483, -0.7853981633974483)	1.000e-08	4.044929860346e+02	over_channel_limit
121.28861207	(-0.7853981633974483, -0.7853981633974483)	1.000e-07	4.197102965461e+02	over_channel_limit
121.28861207	(-0.7853981633974483, -0.7853981633974483)	1.000e-06	5.946319025890e+02	over_channel_limit
121.28861207	(-0.7853981633974483, -0.7853981633974483)	1.000e-05	1.048238882195e+02	over_channel_limit
121.28861207	(-0.7853981633974483, 2.356194490192345)	1.000e-08	-4.165908467558e-03	negative
121.28861207	(-0.7853981633974483, 2.356194490192345)	1.000e-07	-4.082316863130e-03	negative
121.28861207	(-0.7853981633974483, 2.356194490192345)	1.000e-06	-3.338019299142e-03	negative
121.28861207	(-0.7853981633974483, 2.356194490192345)	1.000e-05	-5.092131482445e-04	negative
121.28861207	(-0.7853981633974483, 2.356194490192345)	1.000e-04	-3.860479759669e-07	negative
121.28861207	(0.7853981633974483, -2.356194490192345)	1.000e-08	-4.184730273375e-03	negative
121.28861207	(0.7853981633974483, -2.356194490192345)	1.000e-07	-4.270553761698e-03	negative
121.28861207	(0.7853981633974483, -2.356194490192345)	1.000e-06	-5.239299111199e-03	negative
121.28861207	(0.7853981633974483, -2.356194490192345)	1.000e-05	-4.721359394937e-02	negative
121.28861207	(0.7853981633974483, 0.7853981633974483)	1.000e-08	4.011707843053e+02	over_channel_limit
121.28861207	(0.7853981633974483, 0.7853981633974483)	1.000e-07	3.864881162211e+02	over_channel_limit
121.28861207	(0.7853981633974483, 0.7853981633974483)	1.000e-06	2.628411958873e+02	over_channel_limit
138.61555665	(-2.356194490192345, -0.7853981633974483)	1.000e-08	5.438500948441e+02	over_channel_limit
138.61555665	(-2.356194490192345, -0.7853981633974483)	1.000e-07	5.302523686437e+02	over_channel_limit
138.61555665	(-2.356194490192345, -0.7853981633974483)	1.000e-06	4.113743823666e+02	over_channel_limit
138.61555665	(-2.356194490192345, -0.7853981633974483)	1.000e-05	3.091130599778e+01	over_channel_limit
138.61555665	(-2.356194490192345, 0.7853981633974483)	1.000e-08	-6.924934880919e+01	negative
138.61555665	(-2.356194490192345, 0.7853981633974483)	1.000e-07	-7.144102674749e+01	negative
138.61555665	(-2.356194490192345, 0.7853981633974483)	1.000e-06	-9.418345944245e+01	negative
138.61555665	(-0.7853981633974483, 2.356194490192345)	1.000e-08	-3.999066055420e-02	negative
138.61555665	(-0.7853981633974483, 2.356194490192345)	1.000e-07	-3.868637516511e-02	negative
138.61555665	(-0.7853981633974483, 2.356194490192345)	1.000e-06	-2.734162243694e-02	negative
138.61555665	(0.7853981633974483, -2.356194490192345)	1.000e-08	-4.028509303414e-02	negative
138.61555665	(0.7853981633974483, -2.356194490192345)	1.000e-07	-4.163108099013e-02	negative
138.61555665	(0.7853981633974483, -2.356194490192345)	1.000e-06	-5.717098673404e-02	negative
138.61555665	(0.7853981633974483, -2.356194490192345)	1.000e-05	1.556023035327e+03	over_channel_limit
138.61555665	(2.356194490192345, -0.7853981633974483)	1.000e-08	-6.876490734178e+01	negative
138.61555665	(2.356194490192345, -0.7853981633974483)	1.000e-07	-6.659696880811e+01	negative
138.61555665	(2.356194490192345, -0.7853981633974483)	1.000e-06	-4.612620439316e+01	negative
138.61555665	(2.356194490192345, -0.7853981633974483)	1.000e-05	2.323143887939e+01	over_channel_limit
138.61555665	(2.356194490192345, 0.7853981633974483)	1.000e-08	5.469179580683e+02	over_channel_limit
138.61555665	(2.356194490192345, 0.7853981633974483)	1.000e-07	5.609347534731e+02	over_channel_limit
138.61555665	(2.356194490192345, 0.7853981633974483)	1.000e-06	7.219627307180e+02	over_channel_limit
138.61555665	(2.356194490192345, 0.7853981633974483)	1.000e-05	8.226414273287e+03	over_channel_limit
155.94250123	(-2.356194490192345, -2.356194490192345)	1.000e-08	2.406426696345e+01	over_channel_limit
155.94250123	(-2.356194490192345, -2.356194490192345)	1.000e-07	2.443439973353e+01	over_channel_limit
155.94250123	(-2.356194490192345, -2.356194490192345)	1.000e-06	2.843940394193e+01	over_channel_limit
155.94250123	(-2.356194490192345, -2.356194490192345)	1.000e-05	1.065203655643e+02	over_channel_limit
155.94250123	(-2.356194490192345, 0.7853981633974483)	1.000e-08	-1.092569134172e-01	negative
155.94250123	(-2.356194490192345, 0.7853981633974483)	1.000e-07	-1.041171241149e-01	negative
155.94250123	(-2.356194490192345, 0.7853981633974483)	1.000e-06	-4.441440169583e-02	negative
155.94250123	(-2.356194490192345, 2.356194490192345)	1.000e-08	-8.350312272129e-08	negative
155.94250123	(-2.356194490192345, 2.356194490192345)	1.000e-07	-8.659581109405e-08	negative
155.94250123	(-2.356194490192345, 2.356194490192345)	1.000e-06	-1.212984395242e-07	negative
155.94250123	(-2.356194490192345, 2.356194490192345)	1.000e-05	-1.829368867763e-06	negative
155.94250123	(2.356194490192345, -2.356194490192345)	1.000e-08	-8.282411827449e-08	negative
155.94250123	(2.356194490192345, -2.356194490192345)	1.000e-07	-7.980488451315e-08	negative
155.94250123	(2.356194490192345, -2.356194490192345)	1.000e-06	-5.250350085420e-08	negative
155.94250123	(2.356194490192345, -0.7853981633974483)	1.000e-08	-1.103800134560e-01	negative
155.94250123	(2.356194490192345, -0.7853981633974483)	1.000e-07	-1.153492635915e-01	negative
155.94250123	(2.356194490192345, -0.7853981633974483)	1.000e-06	-1.578834744167e-01	negative
155.94250123	(2.356194490192345, -0.7853981633974483)	1.000e-05	-1.271347776558e-01	negative
155.94250123	(2.356194490192345, 2.356194490192345)	1.000e-08	2.398273336131e+01	over_channel_limit
155.94250123	(2.356194490192345, 2.356194490192345)	1.000e-07	2.361903574225e+01	over_channel_limit
155.94250123	(2.356194490192345, 2.356194490192345)	1.000e-06	2.025784635353e+01	over_channel_limit
173.26944581	(-2.356194490192345, -0.7853981633974483)	1.000e-08	-3.547572401845e-01	negative
173.26944581	(-2.356194490192345, -0.7853981633974483)	1.000e-07	-3.127584220231e-01	negative
173.26944581	(-2.356194490192345, 0.7853981633974483)	1.000e-08	-5.387992608051e+00	negative
173.26944581	(-2.356194490192345, 0.7853981633974483)	1.000e-07	-5.498195656997e+00	negative
173.26944581	(-2.356194490192345, 0.7853981633974483)	1.000e-06	-6.746051974544e+00	negative
173.26944581	(-2.356194490192345, 0.7853981633974483)	1.000e-05	-4.993820871330e+01	negative
173.26944581	(2.356194490192345, -0.7853981633974483)	1.000e-08	-5.363840370355e+00	negative
173.26944581	(2.356194490192345, -0.7853981633974483)	1.000e-07	-5.256654172942e+00	negative
173.26944581	(2.356194490192345, -0.7853981633974483)	1.000e-06	-4.311494666826e+00	negative
173.26944581	(2.356194490192345, 0.7853981633974483)	1.000e-08	-3.626533421003e-01	negative
173.26944581	(2.356194490192345, 0.7853981633974483)	1.000e-07	-3.916169792153e-01	negative
173.26944581	(2.356194490192345, 0.7853981633974483)	1.000e-06	-3.317417775226e-01	negative
173.26944581	(2.356194490192345, 0.7853981633974483)	1.000e-05	-2.454225654499e-03	negative
190.59639039	(-2.356194490192345, -2.356194490192345)	1.000e-08	1.919217123720e+01	over_channel_limit
190.59639039	(-2.356194490192345, -2.356194490192345)	1.000e-07	1.940320967730e+01	over_channel_limit
190.59639039	(-2.356194490192345, -2.356194490192345)	1.000e-06	2.164466228778e+01	over_channel_limit
190.59639039	(-2.356194490192345, -2.356194490192345)	1.000e-05	6.430059969658e+01	over_channel_limit
190.59639039	(-2.356194490192345, 0.7853981633974483)	1.000e-08	3.904723592159e+02	over_channel_limit
190.59639039	(-2.356194490192345, 0.7853981633974483)	1.000e-07	3.953301027436e+02	over_channel_limit
190.59639039	(-2.356194490192345, 0.7853981633974483)	1.000e-06	4.472512396760e+02	over_channel_limit
190.59639039	(-2.356194490192345, 0.7853981633974483)	1.000e-05	1.490750906341e+03	over_channel_limit
190.59639039	(2.356194490192345, -0.7853981633974483)	1.000e-08	3.894007681234e+02	over_channel_limit
190.59639039	(2.356194490192345, -0.7853981633974483)	1.000e-07	3.846138909824e+02	over_channel_limit
190.59639039	(2.356194490192345, -0.7853981633974483)	1.000e-06	3.397881132173e+02	over_channel_limit
190.59639039	(2.356194490192345, -0.7853981633974483)	1.000e-05	9.655818763194e+01	over_channel_limit
190.59639039	(2.356194490192345, 2.356194490192345)	1.000e-08	1.914558453244e+01	over_channel_limit
190.59639039	(2.356194490192345, 2.356194490192345)	1.000e-07	1.893733150738e+01	over_channel_limit
207.92333498	(-2.356194490192345, -2.356194490192345)	1.000e-08	6.364418261394e+01	over_channel_limit
207.92333498	(-2.356194490192345, -2.356194490192345)	1.000e-07	6.427791006693e+01	over_channel_limit
207.92333498	(-2.356194490192345, -2.356194490192345)	1.000e-06	7.085346340472e+01	over_channel_limit
207.92333498	(-2.356194490192345, -2.356194490192345)	1.000e-05	1.383489612869e+02	over_channel_limit
207.92333498	(-2.356194490192345, 0.7853981633974483)	1.000e-08	2.707562241080e+01	over_channel_limit
207.92333498	(-2.356194490192345, 0.7853981633974483)	1.000e-07	2.673741983700e+01	over_channel_limit
207.92333498	(-2.356194490192345, 0.7853981633974483)	1.000e-06	2.343532998876e+01	over_channel_limit
207.92333498	(2.356194490192345, -0.7853981633974483)	1.000e-08	2.715092606663e+01	over_channel_limit
207.92333498	(2.356194490192345, -0.7853981633974483)	1.000e-07	2.749040698067e+01	over_channel_limit
207.92333498	(2.356194490192345, -0.7853981633974483)	1.000e-06	3.091574696830e+01	over_channel_limit
207.92333498	(2.356194490192345, -0.7853981633974483)	1.000e-05	3.756231397564e+01	over_channel_limit
207.92333498	(2.356194490192345, 2.356194490192345)	1.000e-08	6.350395535115e+01	over_channel_limit
207.92333498	(2.356194490192345, 2.356194490192345)	1.000e-07	6.287564608448e+01	over_channel_limit
207.92333498	(2.356194490192345, 2.356194490192345)	1.000e-06	5.683961228932e+01	over_channel_limit
207.92333498	(2.356194490192345, 2.356194490192345)	1.000e-05	1.881749146576e+01	over_channel_limit
294.55805788	(-0.7853981633974483, -2.356194490192345)	1.000e-08	-5.321456452796e-02	negative
294.55805788	(-0.7853981633974483, -2.356194490192345)	1.000e-07	-5.283833651002e-02	negative
