# meta_json: {"atom_symbols": ["N", "Ta"], "lattice_vectors_override_angstrom": null, "lattice_vectors_raw": [[1.4699710891, -2.5460646119, 0.0], [1.4699710891, 2.5460646119, 0.0], [0.0, 0.0, 2.89017508]], "source_format": "phonopy_force_constants", "thickness_angstrom": null, "thickness_direction": null, "transport_direction": 1, "transverse_area_m2": 7.358572493553535e-20}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00	0.000000000000e+00
3.8713603560e-05	0.12736164	4.24832693	1.566037297656e-02	2.128180838101e+17
7.7427207119e-05	0.25472327	8.49665387	1.565879527580e-02	2.127966435001e+17
1.1614081068e-04	0.38208491	12.74498080	1.565390477950e-02	2.127301836492e+17
1.5485441424e-04	0.50944655	16.99330774	1.565062796520e-02	2.126856530790e+17
1.9356801780e-04	0.63680819	21.24163467	1.564895560420e-02	2.126629263748e+17
2.3228162136e-04	0.76416982	25.48996161	2.337331746032e-02	3.176338546748e+17
2.7099522492e-04	0.89153146	29.73828854	3.121389120496e-02	4.241840551589e+17
3.0970882848e-04	1.01889310	33.98661548	3.901745538125e-02	5.302313106983e+17
3.4842243204e-04	1.14625474	38.23494241	5.449452139770e-02	7.405583276572e+17
3.8713603560e-04	1.27361637	42.48326935	6.238765539251e-02	8.478228005114e+17
4.2584963916e-04	1.40097801	46.73159628	7.796765406270e-02	1.059548630268e+18
4.6456324271e-04	1.52833965	50.97992322	9.348542478690e-02	1.270428807609e+18
5.0327684627e-04	1.65570129	55.22825015	1.090850264963e-01	1.482421034675e+18
5.4199044983e-04	1.78306292	59.47657709	1.091564102779e-01	1.483391111163e+18
5.8070405339e-04	1.91042456	63.72490402	1.246767481446e-01	1.694306174925e+18
6.1941765695e-04	2.03778620	67.97323096	1.324172802945e-01	1.799496850925e+18
6.5813126051e-04	2.16514784	72.22155789	1.706366615983e-01	2.318882660296e+18
6.9684486407e-04	2.29250947	76.46988483	2.023905000769e-01	2.750404378759e+18
7.3555846763e-04	2.41987111	80.71821176	2.180344110237e-01	2.962998750298e+18
7.7427207119e-04	2.54723275	84.96653870	2.563769344094e-01	3.484058010355e+18
8.1298567475e-04	2.67459439	89.21486563	2.800113602469e-01	3.805240221418e+18
8.5169927831e-04	2.80195602	93.46319257	2.957908189714e-01	4.019676631990e+18
8.9041288187e-04	2.92931766	97.71151950	3.338602201872e-01	4.537024273114e+18
9.2912648543e-04	3.05667930	101.95984644	3.867490344868e-01	5.255761695976e+18
9.6784008899e-04	3.18404094	106.20817337	4.003393999777e-01	5.440449222026e+18
1.0065536925e-03	3.31140257	110.45650031	4.284273024467e-01	5.822152364770e+18
1.0452672961e-03	3.43876421	114.70482724	5.105710110042e-01	6.938451872988e+18
1.0839808997e-03	3.56612585	118.95315418	5.357979152612e-01	7.281275216498e+18
1.1226945032e-03	3.69348749	123.20148111	5.801581512972e-01	7.884112737973e+18
1.1614081068e-03	3.82084912	127.44980805	6.209382739949e-01	8.438297978838e+18
1.2001217103e-03	3.94821076	131.69813498	7.023611566617e-01	9.544801757093e+18
1.2388353139e-03	4.07557240	135.94646192	7.726329787614e-01	1.049976716868e+19
