# meta_json: {"atom_symbols": ["N", "Ta"], "lattice_vectors_override_angstrom": null, "lattice_vectors_raw": [[1.4699710891, -2.5460646119, 0.0], [1.4699710891, 2.5460646119, 0.0], [0.0, 0.0, 2.89017508]], "source_format": "phonopy_force_constants", "thickness_angstrom": null, "thickness_direction": null, "transport_direction": 2, "transverse_area_m2": 7.358572493553535e-20}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00	0.000000000000e+00
3.8713603560e-05	0.12736164	4.24832693	1.565119163524e-02	2.126933131250e+17
7.7427207119e-05	0.25472327	8.49665387	1.564562365415e-02	2.126176465320e+17
1.1614081068e-04	0.38208491	12.74498080	2.337791959452e-02	3.176963958024e+17
1.5485441424e-04	0.50944655	16.99330774	3.121052320073e-02	4.241382853546e+17
1.9356801780e-04	0.63680819	21.24163467	3.121266539560e-02	4.241673969095e+17
2.3228162136e-04	0.76416982	25.48996161	5.452120445421e-02	7.409209395161e+17
2.7099522492e-04	0.89153146	29.73828854	6.233099079972e-02	8.470527517983e+17
3.0970882848e-04	1.01889310	33.98661548	6.237592398337e-02	8.476633754443e+17
3.4842243204e-04	1.14625474	38.23494241	6.238621085457e-02	8.478031698298e+17
3.8713603560e-04	1.27361637	42.48326935	7.013715335033e-02	9.531353181853e+17
4.2584963916e-04	1.40097801	46.73159628	9.341091271174e-02	1.269416218887e+18
4.6456324271e-04	1.52833965	50.97992322	1.089247341044e-01	1.480242726423e+18
5.0327684627e-04	1.65570129	55.22825015	1.090757086812e-01	1.482294409367e+18
5.4199044983e-04	1.78306292	59.47657709	1.091056821986e-01	1.482701737248e+18
5.8070405339e-04	1.91042456	63.72490402	1.322290032766e-01	1.796938243015e+18
6.1941765695e-04	2.03778620	67.97323096	1.477450236448e-01	2.007794633731e+18
6.5813126051e-04	2.16514784	72.22155789	1.783590308654e-01	2.423826510123e+18
6.9684486407e-04	2.29250947	76.46988483	2.094239694445e-01	2.845986359827e+18
7.3555846763e-04	2.41987111	80.71821176	2.255827159458e-01	3.065577136645e+18
7.7427207119e-04	2.54723275	84.96653870	2.643074333587e-01	3.591830257706e+18
8.1298567475e-04	2.67459439	89.21486563	2.646203147205e-01	3.596082187847e+18
8.5169927831e-04	2.80195602	93.46319257	3.103791393532e-01	4.217925958128e+18
8.9041288187e-04	2.92931766	97.71151950	3.478934664681e-01	4.727730368531e+18
9.2912648543e-04	3.05667930	101.95984644	3.868781778715e-01	5.257516701921e+18
9.6784008899e-04	3.18404094	106.20817337	4.271289880537e-01	5.804508801509e+18
1.0065536925e-03	3.31140257	110.45650031	4.694402609582e-01	6.379501749415e+18
1.0452672961e-03	3.43876421	114.70482724	4.700558808927e-01	6.387867773328e+18
1.0839808997e-03	3.56612585	118.95315418	5.517998170066e-01	7.498734537032e+18
1.1226945032e-03	3.69348749	123.20148111	6.072163404136e-01	8.251822496082e+18
1.1614081068e-03	3.82084912	127.44980805	6.621391827592e-01	8.998201530789e+18
1.2001217103e-03	3.94821076	131.69813498	7.312460575415e-01	9.937335783293e+18
1.2388353139e-03	4.07557240	135.94646192	7.456468515251e-01	1.013303670214e+19
1.2775489175e-03	4.20293403	140.19478885	8.531174087343e-01	1.159351775744e+19
