# x	temp_left_K	temp_right_K	y	y_std	y_minus_std	y_plus_std	c1_J_per_s	c2_J2_per_s
2.0000000000e+00	3.0000000000e+00	1.0000000000e+00	2.1764119070e+05	nan	nan	nan	3.2030569587e-14	nan
3.9900000000e+00	4.9900000000e+00	2.9900000000e+00	6.2156915669e+05	3.5825112124e+04	5.8574404457e+05	6.5739426882e+05	9.1477233986e-14	2.7798557048e-35
5.9800000000e+00	6.9800000000e+00	4.9800000000e+00	1.0817042252e+06	6.5657318563e+04	1.0160469066e+06	1.1473615438e+06	1.5919597916e-13	9.3371303381e-35
7.9700000000e+00	8.9700000000e+00	6.9700000000e+00	1.7043795375e+06	1.0664405280e+05	1.5977354847e+06	1.8110235903e+06	2.5083600767e-13	2.4633176534e-34
9.9600000000e+00	1.0960000000e+01	8.9600000000e+00	2.5997567392e+06	1.6200689486e+05	2.4377498444e+06	2.7617636341e+06	3.8260996862e-13	5.6847861620e-34
1.1950000000e+01	1.2950000000e+01	1.0950000000e+01	3.8612241281e+06	2.3455510742e+05	3.6266690207e+06	4.0957792355e+06	5.6826195321e-13	1.1916176437e-33
1.3940000000e+01	1.4940000000e+01	1.2940000000e+01	5.5788014369e+06	3.2671807777e+05	5.2520833592e+06	5.9055195147e+06	8.2104029601e-13	2.3120300121e-33
1.5930000000e+01	1.6930000000e+01	1.4930000000e+01	7.8508009072e+06	4.4084582632e+05	7.4099550809e+06	8.2916467335e+06	1.1554137522e-12	4.2094039451e-33
1.7920000000e+01	1.8920000000e+01	1.6920000000e+01	1.0787472902e+07	5.7931946165e+05	1.0208153441e+07	1.1366792364e+07	1.5876080275e-12	7.2691456973e-33
1.9910000000e+01	2.0910000000e+01	1.8910000000e+01	1.4508360890e+07	7.4448060405e+05	1.3763880286e+07	1.5252841494e+07	2.1352165074e-12	1.2004771882e-32
2.1900000000e+01	2.2900000000e+01	2.0900000000e+01	1.9134838051e+07	9.3846253967e+05	1.8196375511e+07	2.0073300590e+07	2.8161018590e-12	1.9075723561e-32
2.3890000000e+01	2.4890000000e+01	2.2890000000e+01	2.4779677222e+07	1.1629991312e+06	2.3616678090e+07	2.5942676353e+07	3.6468610240e-12	2.9295837457e-32
2.5880000000e+01	2.6880000000e+01	2.4880000000e+01	3.1536251898e+07	1.4192740745e+06	3.0116977823e+07	3.2955525972e+07	4.6412359153e-12	4.3629443763e-32
2.7870000000e+01	2.8870000000e+01	2.6870000000e+01	3.9469802208e+07	1.7078451086e+06	3.7761957100e+07	4.1177647317e+07	5.8088280171e-12	6.3174832218e-32
2.9860000000e+01	3.0860000000e+01	2.8860000000e+01	4.8612219763e+07	2.0286460097e+06	4.6583573754e+07	5.0640865773e+07	7.1543308640e-12	8.9137341845e-32
3.1850000000e+01	3.2850000000e+01	3.0850000000e+01	5.8960664992e+07	2.3810481890e+06	5.6579616803e+07	6.1341713181e+07	8.6773265523e-12	1.2279579828e-31
3.3840000000e+01	3.4840000000e+01	3.2840000000e+01	7.0479491110e+07	2.7639569676e+06	6.7715534142e+07	7.3243448078e+07	1.0372568893e-11	1.6546635158e-31
3.5830000000e+01	3.6830000000e+01	3.4830000000e+01	8.3104534363e+07	3.1759204935e+06	7.9928613870e+07	8.6280454857e+07	1.2230614813e-11	2.1846726922e-31
3.7820000000e+01	3.8820000000e+01	3.6820000000e+01	9.6748761302e+07	3.6152359105e+06	9.3133525392e+07	1.0036399721e+08	1.4238655474e-11	2.8308732279e-31
3.9810000000e+01	4.0810000000e+01	3.8810000000e+01	1.1130840128e+08	4.0800439775e+06	1.0722835731e+08	1.1538844526e+08	1.6381418800e-11	3.6055940240e-31
4.1800000000e+01	4.2800000000e+01	4.0800000000e+01	1.2666891502e+08	4.5684083246e+06	1.2210050670e+08	1.3123732335e+08	1.8642047878e-11	4.5204010304e-31
4.3790000000e+01	4.4790000000e+01	4.2790000000e+01	1.4271037863e+08	5.0783787307e+06	1.3763199990e+08	1.4778875737e+08	2.1002893335e-11	5.5859534096e-31
4.5780000000e+01	4.6780000000e+01	4.4780000000e+01	1.5931205663e+08	5.6080395809e+06	1.5370401704e+08	1.6492009621e+08	2.3446186356e-11	6.8119158936e-31
4.7770000000e+01	4.8770000000e+01	4.6770000000e+01	1.7635608284e+08	6.1555454641e+06	1.7020053737e+08	1.8251162830e+08	2.5954580405e-11	8.2069204419e-31
4.9760000000e+01	5.0760000000e+01	4.8760000000e+01	1.9373026668e+08	6.7191460938e+06	1.8701112059e+08	2.0044941278e+08	2.8511564232e-11	9.7785690046e-31
5.1750000000e+01	5.2750000000e+01	5.0750000000e+01	2.1133010128e+08	7.2972026405e+06	2.0403289864e+08	2.1862730393e+08	3.1101757408e-11	1.1533468929e-30
5.3740000000e+01	5.4740000000e+01	5.2740000000e+01	2.2906008014e+08	7.8881973247e+06	2.2117188281e+08	2.3694827746e+08	3.3711104101e-11	1.3477292959e-30
5.5730000000e+01	5.6730000000e+01	5.4730000000e+01	2.4683443905e+08	8.4907378276e+06	2.3834370122e+08	2.5532517687e+08	3.6326982273e-11	1.5614856561e-30
5.7720000000e+01	5.8720000000e+01	5.6720000000e+01	2.6457743746e+08	9.1035577996e+06	2.5547387966e+08	2.7368099526e+08	3.8938245074e-11	1.7950206317e-30
5.9710000000e+01	6.0710000000e+01	5.8710000000e+01	2.8222328345e+08	9.7255144867e+06	2.7249776896e+08	2.9194879794e+08	4.1535209813e-11	2.0486714111e-30
6.1700000000e+01	6.2700000000e+01	6.0700000000e+01	2.9971579366e+08	1.0355584285e+07	2.8936020937e+08	3.1007137794e+08	4.4109607902e-11	2.3227172877e-30
6.3690000000e+01	6.4690000000e+01	6.2690000000e+01	3.1700786489e+08	1.0992856854e+07	3.0601500803e+08	3.2800072174e+08	4.6654507096e-11	2.6173890565e-30
6.5680000000e+01	6.6680000000e+01	6.4680000000e+01	3.3406082063e+08	1.1636528274e+07	3.2242429235e+08	3.4569734890e+08	4.9164215317e-11	2.9328779805e-30
6.7670000000e+01	6.8670000000e+01	6.6670000000e+01	3.5084368298e+08	1.2285893631e+07	3.3855778935e+08	3.6312957661e+08	5.1634173503e-11	3.2693441450e-30
6.9660000000e+01	7.0660000000e+01	6.8660000000e+01	3.6733240943e+08	1.2940339304e+07	3.5439207013e+08	3.8027274873e+08	5.4060843280e-11	3.6269240782e-30
7.1650000000e+01	7.2650000000e+01	7.0650000000e+01	3.8350912462e+08	1.3599335188e+07	3.6990978943e+08	3.9710845981e+08	5.6441593909e-11	4.0057375637e-30
7.3640000000e+01	7.4640000000e+01	7.2640000000e+01	3.9936136948e+08	1.4262427006e+07	3.8509894247e+08	4.1362379648e+08	5.8774591768e-11	4.4058936131e-30
7.5630000000e+01	7.6630000000e+01	7.4630000000e+01	4.1488138351e+08	1.4929228827e+07	3.9995215469e+08	4.2981061234e+08	6.1058694736e-11	4.8274955952e-30
7.7620000000e+01	7.8620000000e+01	7.6620000000e+01	4.3006543125e+08	1.5599415895e+07	4.1446601535e+08	4.4566484714e+08	6.3293353056e-11	5.2706455455e-30
7.9610000000e+01	8.0610000000e+01	7.8610000000e+01	4.4491317943e+08	1.6272717816e+07	4.2864046161e+08	4.6118589724e+08	6.5478517683e-11	5.7354476963e-30
8.1600000000e+01	8.2600000000e+01	8.0600000000e+01	4.5942712876e+08	1.6948912150e+07	4.4247821661e+08	4.7637604092e+08	6.7614556650e-11	6.2220112795e-30
8.3590000000e+01	8.4590000000e+01	8.2590000000e+01	4.7361210137e+08	1.7627818439e+07	4.5598428294e+08	4.9123991981e+08	6.9702179636e-11	6.7304526658e-30
8.5580000000e+01	8.6580000000e+01	8.4580000000e+01	4.8747478341e+08	1.8309292669e+07	4.6916549075e+08	5.0578407608e+08	7.1742370651e-11	7.2608969049e-30
8.7570000000e+01	8.8570000000e+01	8.6570000000e+01	5.0102332108e+08	1.8993222194e+07	4.8203009889e+08	5.2001654327e+08	7.3736328583e-11	7.8134787361e-30
8.9560000000e+01	9.0560000000e+01	8.8560000000e+01	5.1426696720e+08	1.9679521089e+07	4.9458744611e+08	5.3394648829e+08	7.5685415184e-11	8.3883431384e-30
9.1550000000e+01	9.2550000000e+01	9.0550000000e+01	5.2721577515e+08	2.0368125941e+07	5.0684764921e+08	5.4758390109e+08	7.7591110024e-11	8.9856454840e-30
9.3540000000e+01	9.4540000000e+01	9.2540000000e+01	5.3988033635e+08	2.1058992061e+07	5.1882134429e+08	5.6093932841e+08	7.9454971858e-11	9.6055513606e-30
9.5530000000e+01	9.6530000000e+01	9.4530000000e+01	5.5227155756e+08	2.1752090081e+07	5.3051946748e+08	5.7402364765e+08	8.1278605849e-11	1.0248236120e-29
9.7520000000e+01	9.8520000000e+01	9.6520000000e+01	5.6440047410e+08	2.2447402942e+07	5.4195307116e+08	5.8684787704e+08	8.3063636081e-11	1.0913884204e-29
9.9510000000e+01	1.0051000000e+02	9.8510000000e+01	5.7627809514e+08	2.3144923222e+07	5.5313317192e+08	5.9942301837e+08	8.4811682791e-11	1.1602688309e-29
1.0150000000e+02	1.0250000000e+02	1.0050000000e+02	5.8791527759e+08	2.3844650803e+07	5.6407062679e+08	6.1175992839e+08	8.6524343805e-11	1.2314848408e-29
1.0349000000e+02	1.0449000000e+02	1.0249000000e+02	5.9932262495e+08	2.4546590838e+07	5.7477603411e+08	6.2386921578e+08	8.8203179654e-11	1.3050570701e-29
1.0548000000e+02	1.0648000000e+02	1.0448000000e+02	6.1051040810e+08	2.5250751999e+07	5.8525965610e+08	6.3576116010e+08	8.9849701922e-11	1.3810066496e-29
1.0747000000e+02	1.0847000000e+02	1.0647000000e+02	6.2148850506e+08	2.5957144979e+07	5.9553136008e+08	6.4744565004e+08	9.1465364368e-11	1.4593551073e-29
1.0946000000e+02	1.1046000000e+02	1.0846000000e+02	6.3226635691e+08	2.6665781231e+07	6.0560057568e+08	6.5893213814e+08	9.3051556452e-11	1.5401242544e-29
1.1145000000e+02	1.1245000000e+02	1.1045000000e+02	6.4285293765e+08	2.7376671911e+07	6.1547626574e+08	6.7022960956e+08	9.4609598887e-11	1.6233360727e-29
1.1344000000e+02	1.1444000000e+02	1.1244000000e+02	6.5325673563e+08	2.8089827015e+07	6.2516690862e+08	6.8134656265e+08	9.6140740921e-11	1.7090126060e-29
1.1543000000e+02	1.1643000000e+02	1.1443000000e+02	6.6348574484e+08	2.8805254678e+07	6.3468049016e+08	6.9229099952e+08	9.7646159037e-11	1.7971758559e-29
1.1742000000e+02	1.1842000000e+02	1.1642000000e+02	6.7354746407e+08	2.9522960625e+07	6.4402450344e+08	7.0307042469e+08	9.9126956844e-11	1.8878476836e-29
1.1941000000e+02	1.2041000000e+02	1.1841000000e+02	6.8344890273e+08	3.0242947752e+07	6.5320595498e+08	7.1369185048e+08	1.0058416593e-10	1.9810497181e-29
1.2140000000e+02	1.2240000000e+02	1.2040000000e+02	6.9319659184e+08	3.0965215818e+07	6.6223137602e+08	7.2416180766e+08	1.0201874747e-10	2.0768032717e-29
