# kx	kx_over_pi	mode0	mode1	mode2	mode3	mode4	mode5	mode6	mode7	mode8	mode9	mode10	mode11	mode12	mode13	mode14	mode15	mode16	mode17	mode18	mode19	mode20	mode21	mode22	mode23	mode0_cm1	mode1_cm1	mode2_cm1	mode3_cm1	mode4_cm1	mode5_cm1	mode6_cm1	mode7_cm1	mode8_cm1	mode9_cm1	mode10_cm1	mode11_cm1	mode12_cm1	mode13_cm1	mode14_cm1	mode15_cm1	mode16_cm1	mode17_cm1	mode18_cm1	mode19_cm1	mode20_cm1	mode21_cm1	mode22_cm1	mode23_cm1
0.0000000000e+00	0.0000000000e+00	0.000000000000e+00	0.000000000000e+00	1.764515598515e-04	1.068422844423e-03	1.068427842447e-03	1.123669018173e-03	1.123683861354e-03	1.617921668105e-03	1.621177424567e-03	1.758833402606e-03	1.758833996987e-03	2.424342489805e-03	4.717569533216e-03	4.736948085740e-03	4.737415830834e-03	4.737417772827e-03	4.774867271485e-03	5.085470772031e-03	5.085473942053e-03	5.087710328115e-03	5.128120748843e-03	5.378874490095e-03	5.378876184281e-03	5.501595343427e-03	0.00000000	0.00000000	19.36332053	117.24585496	117.24640343	123.30842177	123.31005062	177.54638084	177.90365882	193.00965633	193.00972156	266.04083712	517.69341712	519.81996745	519.87129654	519.87150965	523.98111711	558.06591150	558.06625937	558.31167437	562.74620547	590.26324793	590.26343385	603.73030496
3.9319056991e-03	1.2515644556e-03	0.000000000000e+00	0.000000000000e+00	1.764554836341e-04	1.067832027469e-03	1.069018459448e-03	1.123101734366e-03	1.124250882918e-03	1.617921458924e-03	1.621177164809e-03	1.758049345554e-03	1.759617630411e-03	2.424342202613e-03	4.717569689798e-03	4.736948099569e-03	4.737406991940e-03	4.737426614398e-03	4.774867540993e-03	5.085452861101e-03	5.085491896377e-03	5.087710316617e-03	5.128120717069e-03	5.378517484517e-03	5.379232712767e-03	5.501595398529e-03	0.00000000	0.00000000	19.36375111	117.18102029	117.31121615	123.24616957	123.37227404	177.54635789	177.90363031	192.92361602	193.09571539	266.04080561	517.69343430	519.81996897	519.87032659	519.87247990	523.98114668	558.06394600	558.06822963	558.31167311	562.74620198	590.22407110	590.30255833	603.73031100
7.8638113982e-03	2.5031289111e-03	0.000000000000e+00	0.000000000000e+00	1.764672545384e-04	1.067238519551e-03	1.069611367505e-03	1.122526838766e-03	1.124824991792e-03	1.617920831380e-03	1.621176385537e-03	1.757264567768e-03	1.760401137313e-03	2.424341341040e-03	4.717570159535e-03	4.736948141056e-03	4.737397256988e-03	4.737436357382e-03	4.774868349527e-03	5.085433505229e-03	5.085511382431e-03	5.087710282122e-03	5.128120621748e-03	5.378159156559e-03	5.379589609450e-03	5.501595563834e-03	0.00000000	0.00000000	19.36504282	117.11589033	117.37628029	123.18308207	123.43527521	177.54628902	177.90354480	192.83749661	193.18169533	266.04071106	517.69348585	519.81997352	519.86925830	519.87354907	523.98123541	558.06182194	558.07036798	558.31166933	562.74619152	590.18474915	590.34172321	603.73032914
1.1795717097e-02	3.7546933667e-03	0.000000000000e+00	0.000000000000e+00	1.764868712352e-04	1.066644810137e-03	1.070204077150e-03	1.121951665225e-03	1.125398854121e-03	1.617919785473e-03	1.621175086750e-03	1.756479366337e-03	1.761184220604e-03	2.424339905084e-03	4.717570942397e-03	4.736948210200e-03	4.737387508822e-03	4.737446118935e-03	4.774869697112e-03	5.085414171343e-03	5.085530933285e-03	5.087710224631e-03	5.128120462879e-03	5.377800351778e-03	5.379946028781e-03	5.501595839339e-03	0.00000000	0.00000000	19.36719550	117.05073825	117.44132266	123.11996407	123.49824932	177.54617425	177.90340227	192.75133071	193.26762879	266.04055348	517.69357176	519.81998111	519.86818856	519.87462028	523.98138329	558.05970029	558.07251344	558.31166302	562.74617409	590.14537488	590.38083571	603.73035938
1.5727622796e-02	5.0062578223e-03	0.000000000000e+00	0.000000000000e+00	1.765143315100e-04	1.066050900649e-03	1.070796586959e-03	1.121376225866e-03	1.125972457783e-03	1.617918321205e-03	1.621173268451e-03	1.755693741274e-03	1.761966880270e-03	2.424337894748e-03	4.717572038334e-03	4.736948307000e-03	4.737377759483e-03	4.737455887016e-03	4.774871583793e-03	5.085394875527e-03	5.085550532856e-03	5.087710144144e-03	5.128120240464e-03	5.377441070726e-03	5.380301970214e-03	5.501596225042e-03	0.00000000	0.00000000	19.37020892	116.98556422	117.50634309	123.05681690	123.56119505	177.54601356	177.90320273	192.66511833	193.35351576	266.04033288	517.69369202	519.81999173	519.86711870	519.87569220	523.98159033	558.05758282	558.07466424	558.31165419	562.74614968	590.10594834	590.41989577	603.73040170
1.9659528496e-02	6.2578222778e-03	0.000000000000e+00	0.000000000000e+00	1.765496322643e-04	1.065456791454e-03	1.071388896562e-03	1.120800523225e-03	1.126545800241e-03	1.617916438575e-03	1.621170930642e-03	1.754907692583e-03	1.762749116306e-03	2.424335310032e-03	4.717573447276e-03	4.736948431455e-03	4.737368011432e-03	4.737465659161e-03	4.774874009632e-03	5.085375621019e-03	5.085570177903e-03	5.087710040662e-03	5.128119954502e-03	5.377081313762e-03	5.380657433404e-03	5.501596720938e-03	0.00000000	0.00000000	19.37408273	116.92036827	117.57134156	122.99364083	123.62411211	177.54580697	177.90294619	192.57885945	193.43935624	266.04004924	517.69384664	519.82000539	519.86604897	519.87676457	523.98185654	558.05546988	558.07682003	558.31164283	562.74611830	590.06646957	590.45890335	603.73045612
2.3591434195e-02	7.5093867334e-03	0.000000000000e+00	0.000000000000e+00	1.765927695178e-04	1.064862482744e-03	1.071981005764e-03	1.120224558241e-03	1.127118880558e-03	1.617914137584e-03	1.621168073324e-03	1.754121220265e-03	1.763530928710e-03	2.424332150940e-03	4.717575169134e-03	4.736948583563e-03	4.737358265530e-03	4.737475434512e-03	4.774876974707e-03	5.085356408910e-03	5.085589867335e-03	5.087709914184e-03	5.128119604995e-03	5.376721081208e-03	5.381012418045e-03	5.501597327019e-03	0.00000000	0.00000000	19.37881650	116.85515043	117.63631803	122.93043598	123.68700041	177.54555446	177.90263264	192.49255409	193.52515024	266.03970257	517.69403559	519.82002208	519.86497948	519.87783729	523.98218192	558.05336160	558.07898070	558.31162895	562.74607995	590.02693862	590.49785841	603.73052263
2.7523339894e-02	8.7609511890e-03	0.000000000000e+00	0.000000000000e+00	1.766437384108e-04	1.064267974663e-03	1.072572914418e-03	1.119648331396e-03	1.127691698251e-03	1.617911418234e-03	1.621164696501e-03	1.753334324319e-03	1.764312317481e-03	2.424328417472e-03	4.717577203798e-03	4.736948763324e-03	4.737348522174e-03	4.737485212668e-03	4.774880479115e-03	5.085337239678e-03	5.085609600672e-03	5.087709764713e-03	5.128119191945e-03	5.376360373381e-03	5.381366923840e-03	5.501598043279e-03	0.00000000	0.00000000	19.38440969	116.78991071	117.70127250	122.86720239	123.74985988	177.54525605	177.90226207	192.40620224	193.61089774	266.03929286	517.69425887	519.82004181	519.86391027	519.87891032	523.98256648	558.05125802	558.08114618	558.31161255	562.74603462	589.98735551	590.53676092	603.73060123
3.1455245593e-02	1.0012515645e-02	0.000000000000e+00	0.000000000000e+00	1.767025332074e-04	1.063673267332e-03	1.073164622398e-03	1.119071842999e-03	1.128264253008e-03	1.617908280525e-03	1.621160800178e-03	1.752547004747e-03	1.765093282617e-03	2.424324109632e-03	4.717579551138e-03	4.736948970733e-03	4.737338781593e-03	4.737494993401e-03	4.774884522970e-03	5.085318113568e-03	5.085629377666e-03	5.087709592248e-03	5.128118715351e-03	5.375999190595e-03	5.381720950497e-03	5.501598869708e-03	0.00000000	0.00000000	19.39086167	116.72464912	117.76620495	122.80394011	123.81269050	177.54491172	177.90183450	192.31980391	193.69659876	266.03882013	517.69451646	519.82006457	519.86284137	519.87998363	523.98301024	558.04915917	558.08331646	558.31159362	562.74598232	589.94772028	590.57561086	603.73069192
3.5387151292e-02	1.1264080100e-02	0.000000000000e+00	0.000000000000e+00	1.767691472990e-04	1.063078360867e-03	1.073756129583e-03	1.118495093287e-03	1.128836544596e-03	1.617904724458e-03	1.621156384357e-03	1.751759261548e-03	1.765873824117e-03	2.424319227423e-03	4.717582211006e-03	4.736949205790e-03	4.737329043936e-03	4.737504776561e-03	4.774889106405e-03	5.085299030724e-03	5.085649198171e-03	5.087709396791e-03	5.128118175216e-03	5.375637533166e-03	5.382074497728e-03	5.501599806295e-03	0.00000000	0.00000000	19.39817172	116.65936568	117.83111536	122.74064914	123.87549225	177.54452149	177.90134992	192.23335908	193.78225329	266.03828437	517.69480834	519.82009036	519.86177278	519.88105721	523.98351322	558.04706507	558.08549151	558.31157217	562.74592305	589.90803297	590.61440818	603.73079470
