# kx	kx_over_pi	mode0	mode1	mode2	mode3	mode4	mode5	mode0_cm1	mode1_cm1	mode2_cm1	mode3_cm1	mode4_cm1	mode5_cm1
0.0000000000e+00	0.0000000000e+00	0.000000000000e+00	0.000000000000e+00	3.931376519075e-04	4.727036388648e-03	4.880483868948e-03	5.115171959347e-03	0.00000000	0.00000000	43.14187061	518.73228442	535.57119901	561.32524007
3.9319056991e-03	1.2515644556e-03	0.000000000000e+00	0.000000000000e+00	3.931658372295e-04	4.727036561622e-03	4.880486929013e-03	5.115171852110e-03	0.00000000	0.00000000	43.14496360	518.73230340	535.57153481	561.32522830
7.8638113982e-03	2.5031289111e-03	0.000000000000e+00	0.000000000000e+00	3.932503806366e-04	4.727037080536e-03	4.880496109150e-03	5.115171530398e-03	0.00000000	0.00000000	43.15424116	518.73236035	535.57254221	561.32519300
1.1795717097e-02	3.7546933667e-03	0.000000000000e+00	0.000000000000e+00	3.933912444789e-04	4.727037945364e-03	4.880511409183e-03	5.115170994210e-03	0.00000000	0.00000000	43.16969918	518.73245525	535.57422120	561.32513416
1.5727622796e-02	5.0062578223e-03	0.000000000000e+00	0.000000000000e+00	3.935883660965e-04	4.727039156065e-03	4.880532828819e-03	5.115170243545e-03	0.00000000	0.00000000	43.19133078	518.73258811	535.57657173	561.32505178
1.9659528496e-02	6.2578222778e-03	0.000000000000e+00	0.000000000000e+00	3.938416579536e-04	4.727040712581e-03	4.880560367646e-03	5.115169278400e-03	0.00000000	0.00000000	43.21912635	518.73275892	535.57959377	561.32494587
2.3591434195e-02	7.5093867334e-03	0.000000000000e+00	0.000000000000e+00	3.941510078260e-04	4.727042614836e-03	4.880594025139e-03	5.115168098774e-03	0.00000000	0.00000000	43.25307357	518.73296767	535.58328725	561.32481642
2.7523339894e-02	8.7609511890e-03	0.000000000000e+00	0.000000000000e+00	3.945162790396e-04	4.727044862739e-03	4.880633800651e-03	5.115166704663e-03	0.00000000	0.00000000	43.29315745	518.73321434	535.58765211	561.32466343
3.1455245593e-02	1.0012515645e-02	0.000000000000e+00	0.000000000000e+00	3.949373107606e-04	4.727047456182e-03	4.880679693420e-03	5.115165096063e-03	0.00000000	0.00000000	43.33936035	518.73349894	535.59268826	561.32448691
3.5387151292e-02	1.1264080100e-02	0.000000000000e+00	0.000000000000e+00	3.954139183338e-04	4.727050395040e-03	4.880731702566e-03	5.115163272970e-03	0.00000000	0.00000000	43.39166198	518.73382144	535.59839560	561.32428685
3.9319056991e-02	1.2515644556e-02	0.000000000000e+00	0.000000000000e+00	3.959458936693e-04	4.727053679170e-03	4.880789827094e-03	5.115161235380e-03	0.00000000	0.00000000	43.45003953	518.73418184	535.60477403	561.32406325
4.3250962690e-02	1.3767209011e-02	0.000000000000e+00	0.000000000000e+00	3.965330056746e-04	4.727057308415e-03	4.880854065889e-03	5.115158983286e-03	0.00000000	0.00000000	43.51446762	518.73458010	535.61182343	561.32381611
4.7182868389e-02	1.5018773467e-02	0.000000000000e+00	0.000000000000e+00	3.971750007302e-04	4.727061282601e-03	4.880924417721e-03	5.115156516682e-03	0.00000000	0.00000000	43.58491844	518.73501622	535.61954365	561.32354543
5.1114774088e-02	1.6270337922e-02	0.000000000000e+00	0.000000000000e+00	3.978716032067e-04	4.727065601535e-03	4.881000881241e-03	5.115153835563e-03	0.00000000	0.00000000	43.66136172	518.73549016	535.62793455	561.32325121
5.5046679788e-02	1.7521902378e-02	0.000000000000e+00	0.000000000000e+00	3.986225160209e-04	4.727070265010e-03	4.881083454985e-03	5.115150939920e-03	0.00000000	0.00000000	43.74376488	518.73600192	535.63699597	561.32293345
5.8978585487e-02	1.8773466834e-02	0.000000000000e+00	0.000000000000e+00	3.994274212280e-04	4.727075272800e-03	4.881172137369e-03	5.115147829747e-03	0.00000000	0.00000000	43.83209302	518.73655146	535.64672774	561.32259215
6.2910491186e-02	2.0025031289e-02	0.000000000000e+00	0.000000000000e+00	4.002859806480e-04	4.727080624666e-03	4.881266926696e-03	5.115144505034e-03	0.00000000	0.00000000	43.92630902	518.73713876	535.65712966	561.32222731
