# temperature_K	g_x_W_per_K	g_y_W_per_K	g_z_W_per_K	gA_x_W_per_m2K	gA_y_W_per_m2K	gA_z_W_per_m2K
0.00000000	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
2.00000000	1.588344105204e-14	1.601452239683e-14	1.581408607950e-14	2.158494880081e+05	2.176308300402e+05	2.112690545807e+05
4.00000000	4.575154746388e-14	5.240104284162e-14	4.561019884831e-14	6.217448765227e+05	7.121088076190e+05	6.093316769291e+05
6.00000000	7.947320289181e-14	1.062306440347e-13	8.006456717653e-14	1.080008425023e+06	1.443631140792e+06	1.069626491709e+06
8.00000000	1.253874032105e-13	1.813777981625e-13	1.285543188632e-13	1.703963687527e+06	2.464850326899e+06	1.717427695281e+06
10.00000000	1.917437303964e-13	2.795518014585e-13	1.990498708441e-13	2.605719119631e+06	3.798995004852e+06	2.659216461593e+06
12.00000000	2.854505734684e-13	4.039325678268e-13	2.974173527950e-13	3.879156911459e+06	5.489278908112e+06	3.973361636268e+06
14.00000000	4.132036122380e-13	5.599311360017e-13	4.291496690666e-13	5.615268621734e+06	7.609235846929e+06	5.733245942988e+06
16.00000000	5.823606419599e-13	7.548291693969e-13	6.002510712959e-13	7.914043688094e+06	1.025782065826e+07	8.019083474460e+06
18.00000000	8.011944518201e-13	9.972673567958e-13	8.172817048455e-13	1.088790594265e+07	1.355245677976e+07	1.091851481274e+07
20.00000000	1.078676043708e-12	1.296666524687e-12	1.086992812079e-12	1.465876764349e+07	1.762116940239e+07	1.452173350959e+07
22.00000000	1.423894454250e-12	1.662501212666e-12	1.415801305277e-12	1.935014509265e+07	2.259271365638e+07	1.891446661771e+07
24.00000000	1.845256086501e-12	2.103458216724e-12	1.809243301901e-12	2.507627788022e+07	2.858513955752e+07	2.417067416844e+07
26.00000000	2.349666047290e-12	2.626624509609e-12	2.271506488284e-12	3.193100359272e+07	3.569475617602e+07	3.034630176170e+07
28.00000000	2.941876965030e-12	3.236859556894e-12	2.805108052193e-12	3.997890851258e+07	4.398760166772e+07	3.747497789025e+07
30.00000000	3.624111666699e-12	3.936443335863e-12	3.410745666734e-12	4.925019995215e+07	5.349465999433e+07	4.556602315202e+07
32.00000000	4.395978030743e-12	4.725012072011e-12	4.087313496496e-12	5.973954913938e+07	6.421098760867e+07	5.460466408485e+07
34.00000000	5.254631684830e-12	5.599735751883e-12	4.832051698206e-12	7.140830221396e+07	7.609812578172e+07	6.455403042790e+07
36.00000000	6.195112787100e-12	6.555664216895e-12	5.640787733817e-12	8.418905694722e+07	8.908880387654e+07	7.535837895554e+07
38.00000000	7.210779756094e-12	7.586166018517e-12	6.508227983513e-12	9.799155695499e+07	1.030929032114e+08	8.694698929554e+07
40.00000000	8.293774477503e-12	8.683395917525e-12	7.428264443097e-12	1.127090136677e+08	1.180038101837e+08	9.923826126783e+07
42.00000000	9.435471007539e-12	9.838744155523e-12	8.394270117259e-12	1.282242040261e+08	1.337045216874e+08	1.121436612052e+08
