# freq_cm^-1	T_x	T_y
0	0	0
11.38610962	0.1793853064	0.1995990069
22.77221924	0.2751731888	0.1998218536
34.15832886	0.2989501002	0.3873964117
45.54443848	0.454887096	0.3974413015
56.9305481	0.5623606485	0.3989433802
68.31665772	0.6739871773	0.5990600347
79.70276734	0.6988582467	0.5995633398
91.08887696	0.781921699	0.6985961409
102.4749866	0.8965396901	0.7992322041
113.8610962	0.8989119919	0.7996046389
125.2472058	0.9985569862	0.8885167115
136.6333154	1.109109062	0.8885230668
148.019425	1.220421417	1.070260411
159.4055347	1.329812496	1.210394552
170.7916443	1.843403393	1.328580749
182.1777539	2.10396872	1.329108531
193.5638635	2.173920377	1.742610863
204.9499732	2.424078942	2.158444247
216.3360828	2.676619794	2.193026203
227.7221924	3.238754716	2.668759715
239.108302	3.382949173	2.835460689
250.4944116	3.599392905	3.040576669
261.8805213	3.415199702	3.125130646
273.2666309	4.65775537	3.195775436
284.6527405	4.75853625	3.541615971
296.0388501	4.765916651	3.599377244
307.4249597	4.006156788	3.61710715
318.8110694	3.789958599	3.198052585
330.197179	3.027774053	2.548459888
341.5832886	2.318504611	2.425823806
352.9693982	2.100098233	1.876431853
364.3555078	2.183474524	2.148345734
375.7416174	1.886386265	2.284779746
387.1277271	1.512437325	1.995948478
398.5138367	1.361249593	2.023742577
409.8999463	1.212239344	1.700229565
421.2860559	0.951856038	1.563414975
432.6721655	0.8845376833	1.658665744
444.0582752	0.9990530537	1.912615694
455.4443848	1.221643897	2.218263573
466.8304944	1.443293947	2.32981272
478.216604	1.763494409	2.307866165
489.6027136	2.078440292	2.617865867
500.9888233	2.264071601	2.661405297
512.3749329	2.285666061	3.107626757
523.7610425	2.611795962	3.327437122
535.1471521	2.916964453	3.178624085
546.5332617	3.068149659	2.931964165
557.9193714	2.983724616	2.767718565
569.305481	2.881681482	2.329401088
580.6915906	3.205884216	2.219508971
592.0777002	3.531975649	2.320589081
603.4638098	3.654079355	1.873176558
614.8499195	2.190554966	1.110154764
626.2360291	1.440050687	0.55533225
637.6221387	1.444081827	0.5553285153
649.0082483	1.444224601	0.5553265581
660.3943579	1.553299084	0.555320007
671.7804676	1.554942058	0.555298056
683.1665772	1.659681415	0.5552531715
694.5526868	1.761402748	0.6659700081
705.9387964	1.969514902	0.5551231134
717.324906	1.99646174	0.4441571166
728.7110157	1.99949397	0.4441458687
740.0971253	1.999278456	0.3331610473
751.4832349	1.998698879	0.3331414559
762.8693445	1.99838539	0.3331280406
774.2554541	1.998424444	0.333099923
785.6415638	1.998724524	0.3328443636
797.0276734	1.999133239	0.3329703975
808.413783	1.999496874	0.3330967491
819.7998926	1.999704657	0.3330932528
831.1860022	1.999721973	0.3327982647
842.5721119	1.999601625	0.2220521282
853.9582215	1.999455938	0.2220253141
865.3443311	1.999385583	0.2219270063
876.7304407	1.999412423	0.2178883862
888.1165503	1.999485741	0.2219619373
899.5026599	1.999537415	0.2219986174
910.8887696	1.999512963	0.2216976826
922.2748792	1.999370237	0.1109467098
933.6609888	1.999070377	0.1109705088
945.0470984	1.998573625	0.1109828145
956.433208	1.997841611	0.1109118691
967.8193177	1.996841487	0.3323726698
979.2054273	1.995533356	0.1109933221
990.5915369	1.993753272	0.1108694004
1001.977647	1.881268029	0.11098378
1013.363756	1.444820109	0.1240329202
1024.749866	1.787582885	0.1109775814
1036.135975	1.972520606	0.5477420021
1047.522085	1.992904024	0.222105996
1058.908195	1.993313477	0.2221216667
1070.294304	1.994005692	0.2221205617
1081.680414	1.995190379	0.2220646022
1093.066523	1.996729209	0.5106376552
1104.452633	1.998302453	0.3329838267
1115.838743	1.999236974	0.2569156568
1127.224852	1.998965386	0.2217452337
1138.610962	1.998403197	0.2009674099
1149.997072	1.998914115	0.2219779721
1161.383181	1.999277318	0.6236069444
1172.769291	1.999369484	0.5548442267
1184.1554	1.999352377	0.2209075636
1195.54151	1.999272802	0.221983153
1206.92762	1.999145671	0.4439375133
1218.313729	1.998996108	0.4439360664
1229.699839	1.998878172	0.3319227369
1241.085949	1.998893857	0.4408089896
1252.472058	1.997872937	0.5144866361
1263.858168	1.988253968	0.8810862828
1275.244277	1.655270376	0.7739982428
1286.630387	1.525657765	0.6654555523
1298.016497	1.347844094	0.6653579276
1309.402606	1.076651525	0.4702159297
1320.788716	0.802701021	0.5108024284
1332.174825	4.822816886e-09	0.06491313727
1343.560935	2.035178164e-13	4.142885913e-14
1354.947045	7.356733499e-15	6.129173489e-16
