# omega_qe	freq_thz	freq_cm^-1	transmission
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00
1.0375786531e-04	0.34134698	11.38610962	1.995990069225e-01
2.0751573061e-04	0.68269396	22.77221924	1.998218536179e-01
3.1127359592e-04	1.02404094	34.15832886	3.873964117003e-01
4.1503146123e-04	1.36538792	45.54443848	3.974413014521e-01
5.1878932653e-04	1.70673489	56.93054810	3.989433802308e-01
6.2254719184e-04	2.04808187	68.31665772	5.990600347455e-01
7.2630505715e-04	2.38942885	79.70276734	5.995633398409e-01
8.3006292245e-04	2.73077583	91.08887696	6.985961408975e-01
9.3382078776e-04	3.07212281	102.47498658	7.992322040992e-01
1.0375786531e-03	3.41346979	113.86109620	7.996046389200e-01
1.1413365184e-03	3.75481677	125.24720582	8.885167114886e-01
1.2450943837e-03	4.09616375	136.63331544	8.885230668022e-01
1.3488522490e-03	4.43751073	148.01942505	1.070260411370e+00
1.4526101143e-03	4.77885771	159.40553467	1.210394551614e+00
1.5563679796e-03	5.12020468	170.79164429	1.328580749457e+00
1.6601258449e-03	5.46155166	182.17775391	1.329108531039e+00
1.7638837102e-03	5.80289864	193.56386353	1.742610863047e+00
1.8676415755e-03	6.14424562	204.94997315	2.158444246762e+00
1.9713994408e-03	6.48559260	216.33608277	2.193026203110e+00
2.0751573061e-03	6.82693958	227.72219239	2.668759715124e+00
2.1789151714e-03	7.16828656	239.10830201	2.835460689478e+00
2.2826730367e-03	7.50963354	250.49441163	3.040576669146e+00
2.3864309020e-03	7.85098052	261.88052125	3.125130645610e+00
2.4901887674e-03	8.19232750	273.26663087	3.195775436233e+00
2.5939466327e-03	8.53367447	284.65274049	3.541615970837e+00
2.6977044980e-03	8.87502145	296.03885011	3.599377244028e+00
2.8014623633e-03	9.21636843	307.42495973	3.617107149693e+00
2.9052202286e-03	9.55771541	318.81106935	3.198052585111e+00
3.0089780939e-03	9.89906239	330.19717897	2.548459887617e+00
3.1127359592e-03	10.24040937	341.58328859	2.425823805919e+00
3.2164938245e-03	10.58175635	352.96939821	1.876431852656e+00
3.3202516898e-03	10.92310333	364.35550783	2.148345734206e+00
3.4240095551e-03	11.26445031	375.74161745	2.284779745531e+00
3.5277674204e-03	11.60579729	387.12772707	1.995948478179e+00
3.6315252857e-03	11.94714426	398.51383669	2.023742576964e+00
3.7352831510e-03	12.28849124	409.89994631	1.700229565143e+00
3.8390410163e-03	12.62983822	421.28605593	1.563414975222e+00
3.9427988816e-03	12.97118520	432.67216555	1.658665743906e+00
4.0465567470e-03	13.31253218	444.05827516	1.912615694156e+00
4.1503146123e-03	13.65387916	455.44438478	2.218263572834e+00
4.2540724776e-03	13.99522614	466.83049440	2.329812719694e+00
4.3578303429e-03	14.33657312	478.21660402	2.307866164799e+00
4.4615882082e-03	14.67792010	489.60271364	2.617865867165e+00
4.5653460735e-03	15.01926708	500.98882326	2.661405296725e+00
4.6691039388e-03	15.36061405	512.37493288	3.107626756981e+00
4.7728618041e-03	15.70196103	523.76104250	3.327437122151e+00
4.8766196694e-03	16.04330801	535.14715212	3.178624085371e+00
4.9803775347e-03	16.38465499	546.53326174	2.931964165001e+00
5.0841354000e-03	16.72600197	557.91937136	2.767718564915e+00
5.1878932653e-03	17.06734895	569.30548098	2.329401087562e+00
5.2916511306e-03	17.40869593	580.69159060	2.219508970822e+00
5.3954089959e-03	17.75004291	592.07770022	2.320589081315e+00
5.4991668612e-03	18.09138989	603.46380984	1.873176557573e+00
5.6029247266e-03	18.43273687	614.84991946	1.110154763744e+00
5.7066825919e-03	18.77408384	626.23602908	5.553322499706e-01
5.8104404572e-03	19.11543082	637.62213870	5.553285152741e-01
5.9141983225e-03	19.45677780	649.00824832	5.553265581400e-01
6.0179561878e-03	19.79812478	660.39435794	5.553200069807e-01
6.1217140531e-03	20.13947176	671.78046756	5.552980560216e-01
