# meta_json: {"atom_symbols": ["B", "B", "B", "B"], "lattice_vectors_raw": null, "source_format": "qe_q2r_fc", "thickness_angstrom": 2.7, "thickness_direction": 3, "transport_direction": 1}
# omega_qe	freq_thz	freq_cm^-1	transmission
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00
1.0375786531e-04	0.34134698	11.38610962	1.793853063537e-01
2.0751573061e-04	0.68269396	22.77221924	2.751731888221e-01
3.1127359592e-04	1.02404094	34.15832886	2.989501001534e-01
4.1503146123e-04	1.36538792	45.54443848	4.548870959582e-01
5.1878932653e-04	1.70673489	56.93054810	5.623606484603e-01
6.2254719184e-04	2.04808187	68.31665772	6.739871772680e-01
7.2630505715e-04	2.38942885	79.70276734	6.988582467191e-01
8.3006292245e-04	2.73077583	91.08887696	7.819216989880e-01
9.3382078776e-04	3.07212281	102.47498658	8.965396901201e-01
1.0375786531e-03	3.41346979	113.86109620	8.989119919233e-01
1.1413365184e-03	3.75481677	125.24720582	9.985569861579e-01
1.2450943837e-03	4.09616375	136.63331544	1.109109062004e+00
1.3488522490e-03	4.43751073	148.01942505	1.220421417289e+00
1.4526101143e-03	4.77885771	159.40553467	1.329812496168e+00
1.5563679796e-03	5.12020468	170.79164429	1.843403393157e+00
1.6601258449e-03	5.46155166	182.17775391	2.103968720204e+00
1.7638837102e-03	5.80289864	193.56386353	2.173920377215e+00
1.8676415755e-03	6.14424562	204.94997315	2.424078941615e+00
1.9713994408e-03	6.48559260	216.33608277	2.676619793577e+00
2.0751573061e-03	6.82693958	227.72219239	3.238754716067e+00
2.1789151714e-03	7.16828656	239.10830201	3.382949173298e+00
2.2826730367e-03	7.50963354	250.49441163	3.599392904590e+00
2.3864309020e-03	7.85098052	261.88052125	3.415199702279e+00
2.4901887674e-03	8.19232750	273.26663087	4.657755370205e+00
2.5939466327e-03	8.53367447	284.65274049	4.758536249835e+00
2.6977044980e-03	8.87502145	296.03885011	4.765916651152e+00
2.8014623633e-03	9.21636843	307.42495973	4.006156788412e+00
2.9052202286e-03	9.55771541	318.81106935	3.789958598693e+00
3.0089780939e-03	9.89906239	330.19717897	3.027774052554e+00
3.1127359592e-03	10.24040937	341.58328859	2.318504611233e+00
3.2164938245e-03	10.58175635	352.96939821	2.100098233154e+00
3.3202516898e-03	10.92310333	364.35550783	2.183474523580e+00
3.4240095551e-03	11.26445031	375.74161745	1.886386264849e+00
3.5277674204e-03	11.60579729	387.12772707	1.512437325377e+00
3.6315252857e-03	11.94714426	398.51383669	1.361249593216e+00
3.7352831510e-03	12.28849124	409.89994631	1.212239344293e+00
3.8390410163e-03	12.62983822	421.28605593	9.518560380147e-01
3.9427988816e-03	12.97118520	432.67216555	8.845376833102e-01
4.0465567470e-03	13.31253218	444.05827516	9.990530537200e-01
4.1503146123e-03	13.65387916	455.44438478	1.221643896776e+00
4.2540724776e-03	13.99522614	466.83049440	1.443293947353e+00
4.3578303429e-03	14.33657312	478.21660402	1.763494409206e+00
4.4615882082e-03	14.67792010	489.60271364	2.078440292001e+00
4.5653460735e-03	15.01926708	500.98882326	2.264071600694e+00
4.6691039388e-03	15.36061405	512.37493288	2.285666060956e+00
4.7728618041e-03	15.70196103	523.76104250	2.611795961943e+00
4.8766196694e-03	16.04330801	535.14715212	2.916964453287e+00
4.9803775347e-03	16.38465499	546.53326174	3.068149658569e+00
5.0841354000e-03	16.72600197	557.91937136	2.983724616122e+00
5.1878932653e-03	17.06734895	569.30548098	2.881681482465e+00
5.2916511306e-03	17.40869593	580.69159060	3.205884215750e+00
5.3954089959e-03	17.75004291	592.07770022	3.531975649258e+00
5.4991668612e-03	18.09138989	603.46380984	3.654079355093e+00
5.6029247266e-03	18.43273687	614.84991946	2.190554965766e+00
5.7066825919e-03	18.77408384	626.23602908	1.440050687289e+00
5.8104404572e-03	19.11543082	637.62213870	1.444081826959e+00
5.9141983225e-03	19.45677780	649.00824832	1.444224601168e+00
6.0179561878e-03	19.79812478	660.39435794	1.553299083997e+00
6.1217140531e-03	20.13947176	671.78046756	1.554942057607e+00
6.2254719184e-03	20.48081874	683.16657718	1.659681415457e+00
6.3292297837e-03	20.82216572	694.55268680	1.761402747837e+00
6.4329876490e-03	21.16351270	705.93879642	1.969514902103e+00
6.5367455143e-03	21.50485968	717.32490604	1.996461740019e+00
