# idx	kdist	kx	ky	kz	mode0	mode1	mode2	mode3	mode4	mode5	mode6	mode7	mode8	mode9	mode10	mode11	mode12	mode13	mode14	mode0_cm1	mode1_cm1	mode2_cm1	mode3_cm1	mode4_cm1	mode5_cm1	mode6_cm1	mode7_cm1	mode8_cm1	mode9_cm1	mode10_cm1	mode11_cm1	mode12_cm1	mode13_cm1	mode14_cm1
0	0.0000000000e+00	3.1415926536e+00	3.1415926536e+00	0.0000000000e+00	1.774308900249e-03	2.069542654482e-03	2.832849774190e-03	3.221726745294e-03	3.671122787116e-03	4.001369338901e-03	4.891465284349e-03	5.255510379055e-03	5.888273007298e-03	6.941117568020e-03	7.617862794733e-03	8.788429938304e-03	8.815992311467e-03	9.418955137653e-03	9.711606276901e-03	194.70789590	227.10605559	310.86932995	353.54364489	402.85916020	439.09953030	536.77627006	576.72560154	646.16327382	761.69960975	835.96381433	964.41871049	967.44333133	1033.61085333	1065.72560379
1	2.6179938780e-02	3.1415926536e+00	3.1154127148e+00	0.0000000000e+00	1.773657462438e-03	2.066853033284e-03	2.833407517259e-03	3.224337318679e-03	3.671190035963e-03	4.000970409002e-03	4.891403079077e-03	5.255953568186e-03	5.888484976051e-03	6.941217416285e-03	7.617194180230e-03	8.771562902966e-03	8.832653513566e-03	9.419141895701e-03	9.712008032654e-03	194.63640887	226.81090378	310.93053518	353.83012220	402.86653990	439.05575281	536.76944382	576.77423592	646.18653470	761.71056683	835.89044237	962.56776731	969.27168693	1033.63134766	1065.76969138
2	5.2359877560e-02	3.1415926536e+00	3.0892327760e+00	0.0000000000e+00	1.771707819911e-03	2.058901062775e-03	2.835077096104e-03	3.232064702967e-03	3.671392313499e-03	3.999778105875e-03	4.891218254825e-03	5.257281084246e-03	5.889117917114e-03	6.941511001982e-03	7.615192317378e-03	8.745633115895e-03	8.857974510956e-03	9.419699598966e-03	9.713214007212e-03	194.42246033	225.93827588	311.11375028	354.67810461	402.88873730	438.92491266	536.74916170	576.91991397	646.25599196	761.74278413	835.67076331	959.72230208	972.05034521	1033.69254852	1065.90203179
3	7.8539816340e-02	3.1415926536e+00	3.0630528373e+00	0.0000000000e+00	1.768473912318e-03	2.046022083978e-03	2.837847700043e-03	3.244610881712e-03	3.671731194031e-03	3.997805760686e-03	4.890916138750e-03	5.259486840406e-03	5.890163006883e-03	6.941980523878e-03	7.611869051728e-03	8.718636784743e-03	8.883985009004e-03	9.420620663045e-03	9.715226189546e-03	194.06757999	224.52497132	311.41778892	356.05488859	402.92592514	438.70847279	536.71600829	577.16196773	646.37067730	761.79430821	835.30607706	956.75979716	974.90466745	1033.79362362	1066.12284328
4	1.0471975512e-01	3.1415926536e+00	3.0368728985e+00	0.0000000000e+00	1.763978735932e-03	2.028728620631e-03	2.841701769029e-03	3.261524381743e-03	3.672209240193e-03	3.995075169470e-03	4.890505452515e-03	5.262560910851e-03	5.891605775819e-03	6.942596571081e-03	7.607243807643e-03	8.691391427103e-03	8.909909955775e-03	9.421892866932e-03	9.718047459303e-03	193.57429140	222.62723307	311.84072410	357.91093068	402.97838464	438.40882504	536.67094069	577.49930797	646.52900289	761.86191157	834.79851519	953.76996475	977.74960151	1033.93323186	1066.43244185
5	1.3089969390e-01	3.1415926536e+00	3.0106929597e+00	0.0000000000e+00	1.758254012390e-03	2.007654886374e-03	2.846615645530e-03	3.282254031015e-03	3.672829914818e-03	3.991615979530e-03	4.889998082126e-03	5.266489842075e-03	5.893426451303e-03	6.943318524206e-03	7.601343121901e-03	8.664150620011e-03	8.935553712187e-03	9.423499955313e-03	9.721680960924e-03	192.94607561	220.31465805	312.37995972	360.18574675	403.04649581	438.02922283	536.61526322	577.93045833	646.72879893	761.94113677	834.15098977	950.78063170	980.56367851	1034.10958942	1066.83117257
6	1.5707963268e-01	3.1415926536e+00	2.9845130209e+00	0.0000000000e+00	1.751339767725e-03	1.983500057754e-03	2.852560421999e-03	3.306203261381e-03	3.673597464822e-03	3.987464869218e-03	4.889408765786e-03	5.271257056366e-03	5.895600414741e-03	6.944095143862e-03	7.594200012277e-03	8.637065219870e-03	8.960837328371e-03	9.425422427801e-03	9.726129281235e-03	192.18732496	217.66397199	313.03232353	362.81387100	403.13072469	437.57369112	536.55059323	578.45359963	646.96736385	762.02636093	833.36712410	947.80835260	983.33823468	1034.32055639	1067.31931930
7	1.8325957146e-01	3.1415926536e+00	2.9583330821e+00	0.0000000000e+00	1.743283855721e-03	1.956979754912e-03	2.859502927980e-03	3.332775527031e-03	3.674516784138e-03	3.982664556290e-03	4.888754708984e-03	5.276843319018e-03	5.898098751916e-03	6.944865368708e-03	7.585853201721e-03	8.610256965372e-03	8.985723025619e-03	9.427638462667e-03	9.731393482988e-03	191.30329080	214.75370515	313.79417550	365.72984011	403.23160832	437.04691767	536.47881879	579.06662110	647.24152466	762.11088333	832.45116751	944.86648671	986.06912429	1034.56373811	1067.89699867
8	2.0943951024e-01	3.1415926536e+00	2.9321531434e+00	0.0000000000e+00	1.734141458817e-03	1.928789892536e-03	2.867406796044e-03	3.361406703229e-03	3.675593264412e-03	3.977262675465e-03	4.888055137599e-03	5.283227237562e-03	5.900888872087e-03	6.945559345167e-03	7.576346223480e-03	8.583836141132e-03	9.010194225956e-03	9.430124910983e-03	9.737472058718e-03	190.30002870	211.66022532	314.66152477	368.87174853	403.34973837	436.45412977	536.40204970	579.76717519	647.54770496	762.18703845	831.40789724	941.96713638	988.75452813	1034.83659428	1068.56404525
9	2.3561944902e-01	3.1415926536e+00	2.9059732046e+00	0.0000000000e+00	1.723974594122e-03	1.899582763878e-03	2.876233546428e-03	3.391584651663e-03	3.676832643529e-03	3.971310568686e-03	4.887330800789e-03	5.290385760759e-03	5.903935169311e-03	6.946099706161e-03	7.565726436310e-03	8.557906101027e-03	9.034248361104e-03	9.432858289600e-03	9.744359877239e-03	189.18434426	208.45511342	315.63014866	372.18339558	403.48574451	435.80096155	536.32256293	580.55273231	647.88199744	762.24633621	830.24251030	939.12164338	991.39416435	1035.13654791	1069.31989597
10	2.6179938780e-01	3.1415926536e+00	2.8797932658e+00	0.0000000000e+00	1.712851642654e-03	1.869952928128e-03	2.885943635312e-03	3.422858460976e-03	3.678240863108e-03	3.964862032060e-03	4.886603435844e-03	5.298294647035e-03	5.907199699108e-03	6.946403106374e-03	7.554043981760e-03	8.532563674108e-03	9.057893483103e-03	9.435815699504e-03	9.752047197506e-03	187.96374143	205.20361478	316.69570775	375.61529947	403.64027875	435.09331645	536.24274385	581.42063226	648.24023818	762.27963054	828.96050910	936.34063348	993.98891657	1035.46108613	1070.16348186
11	2.8797932658e-01	3.1415926536e+00	2.8536133270e+00	0.0000000000e+00	1.700846908425e-03	1.840429897728e-03	2.896497419734e-03	3.454840481451e-03	3.679823946681e-03	3.957972061919e-03	4.885895207230e-03	5.306928875976e-03	5.910642844623e-03	6.946382006462e-03	7.541350717269e-03	8.507898023289e-03	9.081146169181e-03	9.438975601193e-03	9.760518820282e-03	186.64637412	201.96383668	317.85385172	379.12492054	403.81400209	434.33722962	536.16502474	582.36812936	648.61807972	762.27731509	827.56758433	933.63389117	996.54060392	1035.80784526	1071.09313500
12	3.1415926536e-01	3.1415926536e+00	2.8274333882e+00	0.0000000000e+00	1.688040202146e-03	1.811475025697e-03	2.907856001675e-03	3.487203910842e-03	3.681587910414e-03	3.950695639346e-03	4.885228131815e-03	5.316262981889e-03	5.914223948784e-03	6.945946679119e-03	7.527699159373e-03	8.483988887270e-03	9.104029873461e-03	9.442318390807e-03	9.769753436839e-03	185.24100055	198.78640674	319.10031201	382.67639641	404.00757474	433.53873454	536.09182168	583.39242909	649.01106048	762.22954344	826.06949901	931.01016676	999.05180020	1036.17467402	1072.10651703
