# meta_json: {"atom_symbols": ["B", "B", "B", "B", "B"], "lattice_vectors_override_angstrom": [[5.112337165743099, 0.0, 0.0], [0.0, 2.953769159320898, 0.0], [0.0, 0.0, 15.000000297369095]], "lattice_vectors_raw": [[1.0, 0.0, 0.0], [0.0, 0.577738741, 0.0], [0.0, 0.0, 2.934079958]], "source_format": "qe_q2r_fc", "thickness_angstrom": 2.7, "thickness_direction": 3, "transport_direction": 1, "transverse_area_m2": 7.975176730166427e-20}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00	0.000000000000e+00
9.0611285539e-05	0.29809681	9.94343925	4.760550118085e-02	5.969209560057e+17
1.8122257108e-04	0.59619362	19.88687849	9.520751309849e-02	1.193798160464e+18
2.7183385662e-04	0.89429043	29.83031774	3.320133904172e-01	4.163085053166e+18
3.6244514216e-04	1.19238724	39.77375698	2.380078297988e-01	2.984358063170e+18
4.5305642770e-04	1.49048405	49.71719623	2.380108911245e-01	2.984396448849e+18
5.4366771324e-04	1.78858086	59.66063547	3.329220285499e-01	4.174478382286e+18
6.3427899878e-04	2.08667766	69.60407472	3.332221614286e-01	4.178241720565e+18
7.2489028432e-04	2.38477447	79.54751396	3.332807839000e-01	4.178976782287e+18
8.1550156986e-04	2.68287128	89.49095321	4.757476780740e-01	5.965355930915e+18
9.0611285539e-04	2.98096809	99.43439246	4.284428749199e-01	5.372205399528e+18
9.9672414093e-04	3.27906490	109.37783170	5.235188012335e-01	6.564353605523e+18
1.0873354265e-03	3.57716171	119.32127095	5.236041206247e-01	6.565423417442e+18
1.1779467120e-03	3.87525852	129.26471019	7.140182370725e-01	8.953008331109e+18
1.2685579976e-03	4.17335533	139.20814944	5.236960222112e-01	6.566575762896e+18
1.3591692831e-03	4.47145214	149.15158868	8.092535562977e-01	1.014715515001e+19
1.4497805686e-03	4.76954895	159.09502793	9.973709007265e-01	1.250594105274e+19
1.5403918542e-03	5.06764576	169.03846717	8.094738832453e-01	1.014991780914e+19
1.6310031397e-03	5.36574257	178.98190642	1.047048457287e+00	1.312884331862e+19
1.7216144253e-03	5.66383938	188.92534567	1.427770301212e+00	1.790267914454e+19
1.8122257108e-03	5.96193618	198.86878491	1.047175981675e+00	1.313044233508e+19
1.9028369963e-03	6.26003299	208.81222416	1.332651168129e+00	1.670998917288e+19
