# meta_json: {"atom_symbols": ["B", "B", "B", "B", "B"], "lattice_vectors_override_angstrom": [[5.112337165743099, 0.0, 0.0], [0.0, 2.953769159320898, 0.0], [0.0, 0.0, 15.000000297369095]], "lattice_vectors_raw": [[1.0, 0.0, 0.0], [0.0, 0.577738741, 0.0], [0.0, 0.0, 2.934079958]], "source_format": "qe_q2r_fc", "thickness_angstrom": 2.7, "thickness_direction": 3, "transport_direction": 2, "transverse_area_m2": 1.3803310347506371e-19}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00	0.000000000000e+00
9.0624972935e-05	0.29814184	9.94494126	1.953309703995e-01	1.415102359376e+18
1.8124994587e-04	0.59628368	19.88988253	4.392684172415e-01	3.182341091974e+18
2.7187491881e-04	0.89442552	29.83482379	4.702709161145e-01	3.406943003346e+18
3.6249989174e-04	1.19256735	39.77976505	5.533911605692e-01	4.009119165166e+18
4.5312486468e-04	1.49070919	49.72470632	7.479223371255e-01	5.418427306900e+18
5.4374983761e-04	1.78885103	59.66964758	1.058891469601e+00	7.671286401179e+18
6.3437481055e-04	2.08699287	69.61458885	1.086346261885e+00	7.870186459157e+18
7.2499978348e-04	2.38513471	79.55953011	1.296891646363e+00	9.395511755610e+18
8.1562475642e-04	2.68327655	89.50447137	1.413930232167e+00	1.024341405482e+19
9.0624972935e-04	2.98141839	99.44941264	1.496036439620e+00	1.083824388466e+19
9.9687470229e-04	3.27956022	109.39435390	1.651700058115e+00	1.196597060077e+19
1.0874996752e-03	3.57770206	119.33929516	1.762341607512e+00	1.276752868076e+19
1.1781246482e-03	3.87584390	129.28423643	1.824350111428e+00	1.321675790444e+19
1.2687496211e-03	4.17398574	139.22917769	2.020213018558e+00	1.463571395338e+19
1.3593745940e-03	4.47212758	149.17411895	1.972488966450e+00	1.428997042587e+19
1.4499995670e-03	4.77026942	159.11906022	2.107181016494e+00	1.526576570000e+19
1.5406245399e-03	5.06841126	169.06400148	2.313604591979e+00	1.676122997841e+19
1.6312495128e-03	5.36655309	179.00894275	2.346336261582e+00	1.699835910743e+19
1.7218744858e-03	5.66469493	188.95388401	2.140698026612e+00	1.550858433752e+19
1.8124994587e-03	5.96283677	198.89882527	2.180778188186e+00	1.579895063781e+19
1.9031244316e-03	6.26097861	208.84376654	2.239373393848e+00	1.622345174795e+19
1.9937494046e-03	6.55912045	218.78870780	2.223862641926e+00	1.611108195019e+19
2.0843743775e-03	6.85726229	228.73364906	1.972930822739e+00	1.429317151516e+19
2.1749993504e-03	7.15540413	238.67859033	2.026091982631e+00	1.467830492558e+19
2.2656243234e-03	7.45354597	248.62353159	1.864583815086e+00	1.350823656169e+19
