# omega_qe	freq_thz	freq_cm^-1	transmission
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00
1.9609544126e-04	0.64512301	21.51898734	1.791562490612e-05
3.9219088253e-04	1.29024602	43.03797468	1.580803195798e-04
5.8828632379e-04	1.93536903	64.55696203	2.760769278276e-01
7.8438176506e-04	2.58049204	86.07594937	4.971940185950e-01
9.8047720632e-04	3.22561505	107.59493671	7.857941990943e-02
1.1765726476e-03	3.87073807	129.11392405	7.949308961432e-02
1.3726680888e-03	4.51586108	150.63291139	1.043565894555e-01
1.5687635301e-03	5.16098409	172.15189873	1.333791689355e-01
1.7648589714e-03	5.80610710	193.67088608	4.228190078505e-01
1.9609544126e-03	6.45123011	215.18987342	4.820073444929e-01
2.1570498539e-03	7.09635312	236.70886076	7.337924474216e-01
2.3531452952e-03	7.74147613	258.22784810	5.810293523341e-01
2.5492407364e-03	8.38659914	279.74683544	6.716895622710e-01
2.7453361777e-03	9.03172215	301.26582278	8.441373066175e-01
2.9414316190e-03	9.67684516	322.78481013	5.459733673077e-01
3.1375270602e-03	10.32196817	344.30379747	5.136176942828e-01
3.3336225015e-03	10.96709119	365.82278481	3.944598385636e-01
3.5297179428e-03	11.61221420	387.34177215	4.050217251994e-01
3.7258133840e-03	12.25733721	408.86075949	9.160726090033e-01
3.9219088253e-03	12.90246022	430.37974684	7.018176339935e-01
4.1180042665e-03	13.54758323	451.89873418	9.849092174197e-01
4.3140997078e-03	14.19270624	473.41772152	9.251325613141e-01
4.5101951491e-03	14.83782925	494.93670886	7.438867252741e-01
4.7062905903e-03	15.48295226	516.45569620	7.011992345375e-01
4.9023860316e-03	16.12807527	537.97468354	6.315812202911e-01
5.0984814729e-03	16.77319828	559.49367089	7.559148221047e-01
5.2945769141e-03	17.41832129	581.01265823	6.459617712551e-01
5.4906723554e-03	18.06344430	602.53164557	3.452258171311e+00
5.6867677967e-03	18.70856732	624.05063291	3.219470709409e+00
5.8828632379e-03	19.35369033	645.56962025	1.169933274533e+00
6.0789586792e-03	19.99881334	667.08860759	1.151839835686e+00
6.2750541205e-03	20.64393635	688.60759494	1.161727060909e+00
6.4711495617e-03	21.28905936	710.12658228	8.949469613391e-01
6.6672450030e-03	21.93418237	731.64556962	8.704908746351e-01
6.8633404442e-03	22.57930538	753.16455696	5.852515934008e-01
7.0594358855e-03	23.22442839	774.68354430	5.810143117484e-01
7.2555313268e-03	23.86955140	796.20253165	7.537184333265e-01
7.4516267680e-03	24.51467441	817.72151899	6.617218089419e-01
7.6477222093e-03	25.15979742	839.24050633	5.095844363304e-01
7.8438176506e-03	25.80492044	860.75949367	6.323556433414e-01
8.0399130918e-03	26.45004345	882.27848101	7.299257509105e-01
8.2360085331e-03	27.09516646	903.79746835	7.764278537655e-01
8.4321039744e-03	27.74028947	925.31645570	8.088979317719e-01
8.6281994156e-03	28.38541248	946.83544304	8.956299928469e-01
8.8242948569e-03	29.03053549	968.35443038	6.895110635623e-01
9.0203902982e-03	29.67565850	989.87341772	5.237527256100e-01
9.2164857394e-03	30.32078151	1011.39240506	6.257887922220e-01
9.4125811807e-03	30.96590452	1032.91139241	6.337160405040e-01
9.6086766219e-03	31.61102753	1054.43037975	4.055578031872e-01
9.8047720632e-03	32.25615054	1075.94936709	2.675032813907e-01
1.0000867504e-02	32.90127356	1097.46835443	3.359392858043e-01
1.0196962946e-02	33.54639657	1118.98734177	6.299612113127e-01
1.0393058387e-02	34.19151958	1140.50632911	7.618264481415e-01
1.0589153828e-02	34.83664259	1162.02531646	9.270951021744e-01
1.0785249270e-02	35.48176560	1183.54430380	9.121779191915e-01
1.0981344711e-02	36.12688861	1205.06329114	6.477638232822e-01
1.1177440152e-02	36.77201162	1226.58227848	5.651774768591e-01
1.1373535593e-02	37.41713463	1248.10126582	4.675314334820e-01
1.1569631035e-02	38.06225764	1269.62025316	4.078953162858e-01
1.1765726476e-02	38.70738065	1291.13924051	4.798831841727e-01
1.1961821917e-02	39.35250366	1312.65822785	2.826831243325e-01
1.2157917358e-02	39.99762667	1334.17721519	1.372291477048e+00
1.2354012800e-02	40.64274969	1355.69620253	1.201005334999e+00
1.2550108241e-02	41.28787270	1377.21518987	1.936804614086e+00
1.2746203682e-02	41.93299571	1398.73417722	6.638437761969e+00
1.2942299123e-02	42.57811872	1420.25316456	2.442801599144e+00
1.3138394565e-02	43.22324173	1441.77215190	1.698485132359e+00
1.3334490006e-02	43.86836474	1463.29113924	5.657463461762e-01
1.3530585447e-02	44.51348775	1484.81012658	2.912598326466e+00
1.3726680888e-02	45.15861076	1506.32911392	5.831841957522e-01
1.3922776330e-02	45.80373377	1527.84810127	2.479913427290e+00
1.4118871771e-02	46.44885678	1549.36708861	4.275126477144e-01
1.4314967212e-02	47.09397979	1570.88607595	2.337015188752e-01
1.4511062654e-02	47.73910281	1592.40506329	4.950622936239e-01
1.4707158095e-02	48.38422582	1613.92405063	3.577331595942e-68
1.4903253536e-02	49.02934883	1635.44303797	4.039011891466e-85
1.5099348977e-02	49.67447184	1656.96202532	4.234137497056e-106
1.5295444419e-02	50.31959485	1678.48101266	5.147991828831e-121
1.5491539860e-02	50.96471786	1700.00000000	7.425387814779e-133
