# meta_json: {"atom_symbols": ["C", "C"], "lattice_vectors_override_angstrom": [[2.469655696382301, 0.0, 0.0], [-1.2348278481911505, 2.1380926429787674, 0.0], [0.0, 0.0, 14.999990090129273]], "lattice_vectors_raw": null, "source_format": "qe_q2r_fc", "thickness_angstrom": 3.35, "thickness_direction": 3, "transport_direction": 1, "transverse_area_m2": 7.162610353978872e-20}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00	0.000000000000e+00
1.9609544126e-04	0.64512301	21.51898734	9.768943199416e-11	1.363880305731e+09
3.9219088253e-04	1.29024602	43.03797468	8.140073593962e-02	1.136467459722e+18
5.8828632379e-04	1.93536903	64.55696203	4.959607449057e-01	6.924301621827e+18
7.8438176506e-04	2.58049204	86.07594937	5.792386298443e-01	8.086976691710e+18
9.8047720632e-04	3.22561505	107.59493671	6.632379894560e-01	9.259724551226e+18
1.1765726476e-03	3.87073807	129.11392405	7.477468416529e-01	1.043958563567e+19
1.3726680888e-03	4.51586108	150.63291139	8.290995029257e-01	1.157538190619e+19
1.5687635301e-03	5.16098409	172.15189873	8.314178925220e-01	1.160774984863e+19
1.7648589714e-03	5.80610710	193.67088608	1.080622976635e+00	1.508699933725e+19
1.9609544126e-03	6.45123011	215.18987342	1.081160759214e+00	1.509450752984e+19
2.1570498539e-03	7.09635312	236.70886076	1.164181657720e+00	1.625359471179e+19
2.3531452952e-03	7.74147613	258.22784810	1.164477269831e+00	1.625772186789e+19
2.5492407364e-03	8.38659914	279.74683544	1.330399069453e+00	1.857422090137e+19
2.7453361777e-03	9.03172215	301.26582278	1.413893091082e+00	1.973991353999e+19
2.9414316190e-03	9.67684516	322.78481013	1.496884876981e+00	2.089859426947e+19
3.1375270602e-03	10.32196817	344.30379747	1.497236141176e+00	2.090349840606e+19
3.3336225015e-03	10.96709119	365.82278481	1.662986100640e+00	2.321759831199e+19
3.5297179428e-03	11.61221420	387.34177215	1.663453121814e+00	2.322411857697e+19
3.7258133840e-03	12.25733721	408.86075949	1.745923067747e+00	2.437551369491e+19
3.9219088253e-03	12.90246022	430.37974684	1.912454653153e+00	2.670052618583e+19
4.1180042665e-03	13.54758323	451.89873418	1.994397629702e+00	2.784456407843e+19
4.3140997078e-03	14.19270624	473.41772152	1.329551323006e+00	1.856238518221e+19
4.5101951491e-03	14.83782925	494.93670886	1.164190182162e+00	1.625371372485e+19
4.7062905903e-03	15.48295226	516.45569620	1.080889023184e+00	1.509071371701e+19
4.9023860316e-03	16.12807527	537.97468354	1.164526711895e+00	1.625841214786e+19
5.0984814729e-03	16.77319828	559.49367089	1.330485415557e+00	1.857542641306e+19
5.2945769141e-03	17.41832129	581.01265823	1.496987779326e+00	2.090003092929e+19
5.4906723554e-03	18.06344430	602.53164557	1.828849941748e+00	2.553328816403e+19
5.6867677967e-03	18.70856732	624.05063291	2.571772395253e+00	3.590551863295e+19
5.8828632379e-03	19.35369033	645.56962025	2.742124495447e+00	3.828387082265e+19
6.0789586792e-03	19.99881334	667.08860759	2.577481810780e+00	3.598523001253e+19
6.2750541205e-03	20.64393635	688.60759494	2.576284914134e+00	3.596851967109e+19
6.4711495617e-03	21.28905936	710.12658228	2.328208767645e+00	3.250503172145e+19
6.6672450030e-03	21.93418237	731.64556962	2.328144655358e+00	3.250413662479e+19
6.8633404442e-03	22.57930538	753.16455696	2.316043767377e+00	3.233519140254e+19
7.0594358855e-03	23.22442839	774.68354430	2.077974750337e+00	2.901141689472e+19
7.2555313268e-03	23.86955140	796.20253165	1.994500125802e+00	2.784599506651e+19
7.4516267680e-03	24.51467441	817.72151899	1.910274910376e+00	2.667009394577e+19
7.6477222093e-03	25.15979742	839.24050633	1.661471184614e+00	2.319644797781e+19
7.8438176506e-03	25.80492044	860.75949367	1.493335038376e+00	2.084903358657e+19
8.0399130918e-03	26.45004345	882.27848101	1.247732049843e+00	1.742007436088e+19
8.2360085331e-03	27.09516646	903.79746835	1.164844607724e+00	1.626285041566e+19
8.4321039744e-03	27.74028947	925.31645570	1.081654656715e+00	1.510140302571e+19
8.6281994156e-03	28.38541248	946.83544304	1.164153465557e+00	1.625320110999e+19
8.8242948569e-03	29.03053549	968.35443038	9.983479207683e-01	1.393832515563e+19
9.0203902982e-03	29.67565850	989.87341772	8.320868441413e-01	1.161708934340e+19
9.2164857394e-03	30.32078151	1011.39240506	9.151007890937e-01	1.277607944407e+19
9.4125811807e-03	30.96590452	1032.91139241	9.151784750869e-01	1.277716404856e+19
9.6086766219e-03	31.61102753	1054.43037975	9.151511290319e-01	1.277678225961e+19
9.8047720632e-03	32.25615054	1075.94936709	9.981907366630e-01	1.393613064696e+19
1.0000867504e-02	32.90127356	1097.46835443	9.982239576463e-01	1.393659445808e+19
1.0196962946e-02	33.54639657	1118.98734177	1.081206848831e+00	1.509515100497e+19
1.0393058387e-02	34.19151958	1140.50632911	1.163839563529e+00	1.624881860120e+19
1.0589153828e-02	34.83664259	1162.02531646	1.163979409346e+00	1.625077104326e+19
1.0785249270e-02	35.48176560	1183.54430380	1.246400377696e+00	1.740148236604e+19
1.0981344711e-02	36.12688861	1205.06329114	1.011529140416e+00	1.412235331011e+19
1.1177440152e-02	36.77201162	1226.58227848	9.148271580166e-01	1.277225917376e+19
1.1373535593e-02	37.41713463	1248.10126582	9.943607291997e-01	1.388265841723e+19
1.1569631035e-02	38.06225764	1269.62025316	9.146330145521e-01	1.276954866104e+19
1.1765726476e-02	38.70738065	1291.13924051	9.969236884445e-01	1.391844089202e+19
