# x	temp_left_K	temp_right_K	y	y_std	y_minus_std	y_plus_std	c1_J_per_s	c2_J2_per_s
0.0000000000e+00	3.0000000000e+02	3.0000000000e+02	0.0000000000e+00	2.9652691938e-11	-2.9652691938e-11	2.9652691938e-11	0.0000000000e+00	8.7928213914e-28
1.0000000000e+00	3.0050000000e+02	2.9950000000e+02	3.5381181219e-10	2.9652969118e-11	3.2415884307e-10	3.8346478130e-10	3.5381181219e-10	8.7929857749e-28
2.0000000000e+00	3.0100000000e+02	2.9900000000e+02	7.0762296112e-10	2.9653800640e-11	6.7796916048e-10	7.3727676176e-10	7.0762296112e-10	8.7934789238e-28
3.0000000000e+00	3.0150000000e+02	2.9850000000e+02	1.0614327836e-09	2.9655186450e-11	1.0317775971e-09	1.0910879700e-09	1.0614327836e-09	8.7943008340e-28
4.0000000000e+00	3.0200000000e+02	2.9800000000e+02	1.4152406163e-09	2.9657126460e-11	1.3855834899e-09	1.4448977428e-09	1.4152406163e-09	8.7954514985e-28
5.0000000000e+00	3.0250000000e+02	2.9750000000e+02	1.7690457962e-09	2.9659620543e-11	1.7393861757e-09	1.7987054167e-09	1.7690457962e-09	8.7969309075e-28
6.0000000000e+00	3.0300000000e+02	2.9700000000e+02	2.1228476601e-09	2.9662668539e-11	2.0931849915e-09	2.1525103286e-09	2.1228476601e-09	8.7987390485e-28
7.0000000000e+00	3.0350000000e+02	2.9650000000e+02	2.4766455449e-09	2.9666270251e-11	2.4469792746e-09	2.5063118151e-09	2.4766455449e-09	8.8008759062e-28
8.0000000000e+00	3.0400000000e+02	2.9600000000e+02	2.8304387876e-09	2.9670425447e-11	2.8007683621e-09	2.8601092130e-09	2.8304387876e-09	8.8033414623e-28
9.0000000000e+00	3.0450000000e+02	2.9550000000e+02	3.1842267253e-09	2.9675133860e-11	3.1545515914e-09	3.2139018592e-09	3.1842267253e-09	8.8061356959e-28
1.0000000000e+01	3.0500000000e+02	2.9500000000e+02	3.5380086952e-09	2.9680395185e-11	3.5083283000e-09	3.5676890904e-09	3.5380086952e-09	8.8092585833e-28
1.1000000000e+01	3.0550000000e+02	2.9450000000e+02	3.8917840346e-09	2.9686209084e-11	3.8620978255e-09	3.9214702436e-09	3.8917840346e-09	8.8127100981e-28
1.2000000000e+01	3.0600000000e+02	2.9400000000e+02	4.2455520808e-09	2.9692575184e-11	4.2158595056e-09	4.2752446560e-09	4.2455520808e-09	8.8164902108e-28
1.3000000000e+01	3.0650000000e+02	2.9350000000e+02	4.5993121714e-09	2.9699493075e-11	4.5696126784e-09	4.6290116645e-09	4.5993121714e-09	8.8205988894e-28
1.4000000000e+01	3.0700000000e+02	2.9300000000e+02	4.9530636442e-09	2.9706962314e-11	4.9233566818e-09	4.9827706065e-09	4.9530636442e-09	8.8250360990e-28
1.5000000000e+01	3.0750000000e+02	2.9250000000e+02	5.3068058368e-09	2.9714982419e-11	5.2770908544e-09	5.3365208192e-09	5.3068058368e-09	8.8298018019e-28
1.6000000000e+01	3.0800000000e+02	2.9200000000e+02	5.6605380873e-09	2.9723552879e-11	5.6308145345e-09	5.6902616402e-09	5.6605380873e-09	8.8348959577e-28
1.7000000000e+01	3.0850000000e+02	2.9150000000e+02	6.0142597339e-09	2.9732673144e-11	5.9845270608e-09	6.0439924071e-09	6.0142597339e-09	8.8403185231e-28
1.8000000000e+01	3.0900000000e+02	2.9100000000e+02	6.3679701150e-09	2.9742342631e-11	6.3382277724e-09	6.3977124576e-09	6.3679701150e-09	8.8460694520e-28
1.9000000000e+01	3.0950000000e+02	2.9050000000e+02	6.7216685691e-09	2.9752560723e-11	6.6919160084e-09	6.7514211298e-09	6.7216685691e-09	8.8521486957e-28
2.0000000000e+01	3.1000000000e+02	2.9000000000e+02	7.0753544349e-09	2.9763326767e-11	7.0455911082e-09	7.1051177617e-09	7.0753544349e-09	8.8585562025e-28
2.1000000000e+01	3.1050000000e+02	2.8950000000e+02	7.4290270516e-09	2.9774640079e-11	7.3992524115e-09	7.4588016917e-09	7.4290270516e-09	8.8652919181e-28
2.2000000000e+01	3.1100000000e+02	2.8900000000e+02	7.7826857583e-09	2.9786499937e-11	7.7528992584e-09	7.8124722582e-09	7.7826857583e-09	8.8723557852e-28
2.3000000000e+01	3.1150000000e+02	2.8850000000e+02	8.1363298945e-09	2.9798905591e-11	8.1065309889e-09	8.1661288001e-09	8.1363298945e-09	8.8797477439e-28
2.4000000000e+01	3.1200000000e+02	2.8800000000e+02	8.4899588000e-09	2.9811856251e-11	8.4601469438e-09	8.5197706563e-09	8.4899588000e-09	8.8874677315e-28
2.5000000000e+01	3.1250000000e+02	2.8750000000e+02	8.8435718149e-09	2.9825351100e-11	8.8137464638e-09	8.8733971660e-09	8.8435718149e-09	8.8955156823e-28
2.6000000000e+01	3.1300000000e+02	2.8700000000e+02	9.1971682793e-09	2.9839389284e-11	9.1673288900e-09	9.2270076686e-09	9.1971682793e-09	8.9038915282e-28
2.7000000000e+01	3.1350000000e+02	2.8650000000e+02	9.5507475340e-09	2.9853969917e-11	9.5208935641e-09	9.5806015039e-09	9.5507475340e-09	8.9125951980e-28
2.8000000000e+01	3.1400000000e+02	2.8600000000e+02	9.9043089199e-09	2.9869092082e-11	9.8744398278e-09	9.9341780119e-09	9.9043089199e-09	8.9216266178e-28
2.9000000000e+01	3.1450000000e+02	2.8550000000e+02	1.0257851778e-08	2.9884754828e-11	1.0227967023e-08	1.0287736533e-08	1.0257851778e-08	8.9309857111e-28
3.0000000000e+01	3.1500000000e+02	2.8500000000e+02	1.0611375450e-08	2.9900957172e-11	1.0581474493e-08	1.0641276407e-08	1.0611375450e-08	8.9406723983e-28
3.1000000000e+01	3.1550000000e+02	2.8450000000e+02	1.0964879278e-08	2.9917698102e-11	1.0934961580e-08	1.0994796977e-08	1.0964879278e-08	8.9506865973e-28
3.2000000000e+01	3.1600000000e+02	2.8400000000e+02	1.1318362605e-08	2.9934976571e-11	1.1288427628e-08	1.1348297581e-08	1.1318362605e-08	8.9610282230e-28
3.3000000000e+01	3.1650000000e+02	2.8350000000e+02	1.1671824772e-08	2.9952791502e-11	1.1641871980e-08	1.1701777563e-08	1.1671824772e-08	8.9716971879e-28
3.4000000000e+01	3.1700000000e+02	2.8300000000e+02	1.2025265123e-08	2.9971141789e-11	1.1995293981e-08	1.2055236265e-08	1.2025265123e-08	8.9826934012e-28
3.5000000000e+01	3.1750000000e+02	2.8250000000e+02	1.2378683001e-08	2.9990026292e-11	1.2348692975e-08	1.2408673027e-08	1.2378683001e-08	8.9940167698e-28
3.6000000000e+01	3.1800000000e+02	2.8200000000e+02	1.2732077750e-08	3.0009443843e-11	1.2702068307e-08	1.2762087194e-08	1.2732077750e-08	9.0056671976e-28
3.7000000000e+01	3.1850000000e+02	2.8150000000e+02	1.3085448715e-08	3.0029393243e-11	1.3055419322e-08	1.3115478108e-08	1.3085448715e-08	9.0176445857e-28
3.8000000000e+01	3.1900000000e+02	2.8100000000e+02	1.3438795240e-08	3.0049873265e-11	1.3408745367e-08	1.3468845113e-08	1.3438795240e-08	9.0299488325e-28
3.9000000000e+01	3.1950000000e+02	2.8050000000e+02	1.3792116670e-08	3.0070882650e-11	1.3762045787e-08	1.3822187553e-08	1.3792116670e-08	9.0425798337e-28
4.0000000000e+01	3.2000000000e+02	2.8000000000e+02	1.4145412351e-08	3.0092420112e-11	1.4115319931e-08	1.4175504771e-08	1.4145412351e-08	9.0555374822e-28
4.1000000000e+01	3.2050000000e+02	2.7950000000e+02	1.4498681628e-08	3.0114484336e-11	1.4468567144e-08	1.4528796113e-08	1.4498681628e-08	9.0688216680e-28
4.2000000000e+01	3.2100000000e+02	2.7900000000e+02	1.4851923849e-08	3.0137073976e-11	1.4821786775e-08	1.4882060923e-08	1.4851923849e-08	9.0824322785e-28
4.3000000000e+01	3.2150000000e+02	2.7850000000e+02	1.5205138360e-08	3.0160187662e-11	1.5174978172e-08	1.5235298548e-08	1.5205138360e-08	9.0963691983e-28
4.4000000000e+01	3.2200000000e+02	2.7800000000e+02	1.5558324509e-08	3.0183823994e-11	1.5528140685e-08	1.5588508333e-08	1.5558324509e-08	9.1106323092e-28
4.5000000000e+01	3.2250000000e+02	2.7750000000e+02	1.5911481644e-08	3.0207981545e-11	1.5881273663e-08	1.5941689626e-08	1.5911481644e-08	9.1252214902e-28
4.6000000000e+01	3.2300000000e+02	2.7700000000e+02	1.6264609113e-08	3.0232658861e-11	1.6234376455e-08	1.6294841772e-08	1.6264609113e-08	9.1401366178e-28
