# x	temp_left_K	temp_right_K	y	y_std	y_minus_std	y_plus_std	c1_J_per_s	c2_J2_per_s
0.0000000000e+00	1.0000000000e+03	1.0000000000e+03	0.0000000000e+00	1.4533039694e-10	-1.4533039694e-10	1.4533039694e-10	0.0000000000e+00	2.1120924275e-26
1.0000000000e+00	1.0005000000e+03	9.9950000000e+02	7.6489113950e-10	1.4533051443e-10	6.1956062507e-10	9.1022165393e-10	7.6489113950e-10	2.1120958424e-26
2.0000000000e+00	1.0010000000e+03	9.9900000000e+02	1.5297821622e-09	1.4533086689e-10	1.3844512953e-09	1.6751130291e-09	1.5297821622e-09	2.1121060871e-26
3.0000000000e+00	1.0015000000e+03	9.9850000000e+02	2.2946729514e-09	1.4533145432e-10	2.1493414971e-09	2.4400044057e-09	2.2946729514e-09	2.1121231615e-26
4.0000000000e+00	1.0020000000e+03	9.9800000000e+02	3.0595633902e-09	1.4533227673e-10	2.9142311135e-09	3.2048956670e-09	3.0595633902e-09	2.1121470658e-26
5.0000000000e+00	1.0025000000e+03	9.9750000000e+02	3.8244533620e-09	1.4533333409e-10	3.6791200279e-09	3.9697866961e-09	3.8244533620e-09	2.1121777999e-26
6.0000000000e+00	1.0030000000e+03	9.9700000000e+02	4.5893427498e-09	1.4533462642e-10	4.4440081234e-09	4.7346773763e-09	4.5893427498e-09	2.1122153637e-26
7.0000000000e+00	1.0035000000e+03	9.9650000000e+02	5.3542314370e-09	1.4533615370e-10	5.2088952833e-09	5.4995675907e-09	5.3542314370e-09	2.1122597573e-26
8.0000000000e+00	1.0040000000e+03	9.9600000000e+02	6.1191193068e-09	1.4533791593e-10	5.9737813908e-09	6.2644572227e-09	6.1191193068e-09	2.1123109805e-26
9.0000000000e+00	1.0045000000e+03	9.9550000000e+02	6.8840062423e-09	1.4533991308e-10	6.7386663292e-09	7.0293461554e-09	6.8840062423e-09	2.1123690335e-26
1.0000000000e+01	1.0050000000e+03	9.9500000000e+02	7.6488921268e-09	1.4534214517e-10	7.5035499816e-09	7.7942342719e-09	7.6488921268e-09	2.1124339162e-26
1.1000000000e+01	1.0055000000e+03	9.9450000000e+02	8.4137768435e-09	1.4534461217e-10	8.2684322313e-09	8.5591214556e-09	8.4137768435e-09	2.1125056286e-26
