# x	temp_left_K	temp_right_K	y	y_std	y_minus_std	y_plus_std	c1_J_per_s	c2_J2_per_s
2.0000000000e+00	3.0000000000e+00	1.0000000000e+00	3.4048890780e-01	4.5081236443e+01	-4.4740747535e+01	4.5421725351e+01	4.8775787528e-20	4.1705591162e-41
3.9900000000e+00	4.9900000000e+00	2.9900000000e+00	1.3022815686e+03	2.8012093829e+03	-1.4989278143e+03	4.1034909515e+03	1.8655470894e-16	1.6102517821e-37
5.9800000000e+00	6.9800000000e+00	4.9800000000e+00	4.7574258503e+04	1.7720255858e+04	2.9854002645e+04	6.5294514362e+04	6.8151175308e-15	6.4438084233e-36
7.9700000000e+00	8.9700000000e+00	6.9700000000e+00	3.6284693473e+05	5.5325518085e+04	3.0752141664e+05	4.1817245281e+05	5.1978624232e-14	6.2813591043e-35
9.9600000000e+00	1.0960000000e+01	8.9600000000e+00	1.3570953393e+06	1.2439095667e+05	1.2327043826e+06	1.4814862959e+06	1.9440690257e-13	3.1752670708e-34
1.1950000000e+01	1.2950000000e+01	1.0950000000e+01	3.4556855236e+06	2.2991053973e+05	3.2257749839e+06	3.6855960633e+06	4.9503457823e-13	1.0847268883e-33
1.3940000000e+01	1.4940000000e+01	1.2940000000e+01	6.9512621954e+06	3.7330608813e+05	6.5779561072e+06	7.3245682835e+06	9.9578365147e-13	2.8597810840e-33
1.5930000000e+01	1.6930000000e+01	1.4930000000e+01	1.1963716550e+07	5.5369957174e+05	1.1410016979e+07	1.2517416122e+07	1.7138288007e-12	6.2914539028e-33
1.7920000000e+01	1.8920000000e+01	1.6920000000e+01	1.8481736694e+07	7.6918040096e+05	1.7712556293e+07	1.9250917094e+07	2.6475495720e-12	1.2141128708e-32
1.9910000000e+01	2.0910000000e+01	1.8910000000e+01	2.6422312831e+07	1.0176194970e+06	2.5404693334e+07	2.7439932328e+07	3.7850546292e-12	2.1250711830e-32
2.1900000000e+01	2.2900000000e+01	2.0900000000e+01	3.5675437217e+07	1.2970547265e+06	3.4378382491e+07	3.6972491944e+07	5.1105851199e-12	3.4523851901e-32
2.3890000000e+01	2.4890000000e+01	2.2890000000e+01	4.6129696022e+07	1.6058205410e+06	4.4523875481e+07	4.7735516563e+07	6.6081807670e-12	5.2917176261e-32
2.5880000000e+01	2.6880000000e+01	2.4880000000e+01	5.7684191167e+07	1.9425574155e+06	5.5741633752e+07	5.9626748583e+07	8.2633876983e-12	7.7437330234e-32
2.7870000000e+01	2.8870000000e+01	2.6870000000e+01	7.0252604102e+07	2.3061754387e+06	6.7946428664e+07	7.2558779541e+07	1.0063840591e-11	1.0914084922e-31
2.9860000000e+01	3.0860000000e+01	2.8860000000e+01	8.3763327692e+07	2.6958063070e+06	8.1067521385e+07	8.6459133999e+07	1.1999281564e-11	1.4913514945e-31
3.1850000000e+01	3.2850000000e+01	3.0850000000e+01	9.8157905345e+07	3.1107575250e+06	9.5047147820e+07	1.0126866287e+08	1.4061336583e-11	1.9857975220e-31
3.3840000000e+01	3.4840000000e+01	3.2840000000e+01	1.1338893425e+08	3.5504733505e+06	1.0983846089e+08	1.1693940760e+08	1.6243215089e-11	2.5868732988e-31
3.5830000000e+01	3.6830000000e+01	3.4830000000e+01	1.2941797720e+08	4.0145031586e+06	1.2540347404e+08	1.3343248036e+08	1.8539410869e-11	3.3072441094e-31
3.7820000000e+01	3.8820000000e+01	3.6820000000e+01	1.4621370451e+08	4.5024764383e+06	1.4171122807e+08	1.5071618095e+08	2.0945435877e-11	4.1601169648e-31
3.9810000000e+01	4.0810000000e+01	3.8810000000e+01	1.6375032746e+08	5.0140832260e+06	1.5873624423e+08	1.6876441068e+08	2.3457595818e-11	5.1592398719e-31
