# freq_cm^-1	transmission_per_m2_x	transmission_per_m2_y
0.00000000	0.000000000000e+00	0.000000000000e+00
4.00045948	1.843135981372e+18	6.861527498040e+17
8.00091897	3.050305504767e+18	1.240474460591e+18
12.00137845	5.072992135471e+18	4.148576641805e+18
16.00183793	6.123281323486e+18	4.014343387105e+18
20.00229742	8.160649455243e+18	4.068470169648e+18
24.00275690	8.193749840004e+18	6.485365328039e+18
28.00321638	9.226158340770e+18	6.784318254739e+18
32.00367587	1.227889258159e+19	8.118338669814e+18
36.00413535	1.230389207101e+19	9.471810120781e+18
40.00459483	1.128558846205e+19	8.185542824243e+18
44.00505432	1.435417263654e+19	9.547592639740e+18
48.00551380	1.538867935654e+19	9.551811725518e+18
52.00597328	1.641002941763e+19	1.205656898479e+19
56.00643277	1.743683307531e+19	1.219714304998e+19
60.00689225	1.845944049966e+19	1.224702487953e+19
64.00735173	2.152323195924e+19	1.221565119971e+19
68.00781121	2.153230824312e+19	1.616883982867e+19
72.00827070	2.354173754128e+19	1.591264229197e+19
76.00873018	2.841772481645e+19	1.136134027536e+19
80.00918966	2.564598906658e+19	8.093597416336e+18
84.00964915	2.565003006378e+19	8.081373464897e+18
88.01010863	2.565146014045e+19	5.450628438657e+18
92.01056811	2.667694864926e+19	7.940696126552e+18
96.01102760	2.667607843016e+19	7.855401502435e+18
100.01148708	2.769958444952e+19	5.998837271416e+18
104.01194656	3.075270484008e+19	1.208582151918e+19
108.01240605	3.282162397499e+19	1.542291685304e+19
112.01286553	3.177314986179e+19	1.642403260124e+19
116.01332501	2.460875830352e+19	1.835508980731e+19
120.01378450	2.620308263144e+19	1.778658852184e+19
124.01424398	2.619495446193e+19	1.931201366603e+19
128.01470346	2.278439142400e+19	2.461186071064e+19
132.01516295	1.928596583791e+19	2.550841414804e+19
136.01562243	1.822212345532e+19	2.347324845302e+19
140.01608191	1.822599124019e+19	2.417308193616e+19
144.01654140	1.822217033410e+19	2.413947903393e+19
148.01700088	1.936502272631e+19	2.413347108491e+19
152.01746036	1.822487445315e+19	2.417454112520e+19
