# freq_cm^-1	transmission_x	transmission_y
0.00000000	0.000000000000e+00	0.000000000000e+00
4.00045948	1.795593189412e-01	5.023379869927e-02
8.00091897	2.971624364854e-01	9.081614022927e-02
12.00137845	4.942136782338e-01	3.037206569127e-01
16.00183793	5.965334273990e-01	2.938933315871e-01
20.00229742	7.950149490382e-01	2.978559971879e-01
24.00275690	7.982396066893e-01	4.747988497794e-01
28.00321638	8.988174094885e-01	4.966854357396e-01
32.00367587	1.196216454773e+00	5.943501510828e-01
36.00413535	1.198651918754e+00	6.934388925220e-01
40.00459483	1.099448222256e+00	5.992702216739e-01
44.00505432	1.398391376778e+00	6.989869921301e-01
48.00551380	1.499173589247e+00	6.992958748180e-01
52.00597328	1.598674072783e+00	8.826711829965e-01
56.00643277	1.698705848693e+00	8.929627241951e-01
60.00689225	1.798328825248e+00	8.966146133480e-01
64.00735173	2.096805070854e+00	8.943177208308e-01
68.00781121	2.097689287411e+00	1.183733863030e+00
72.00827070	2.293448992547e+00	1.164977433810e+00
76.00873018	2.768470349160e+00	8.317729259397e-01
80.00918966	2.498446331095e+00	5.925388238716e-01
84.00964915	2.498840007259e+00	5.916438984835e-01
88.01010863	2.498979326114e+00	3.990449238165e-01
92.01056811	2.598882979498e+00	5.813447965736e-01
96.01102760	2.598798202276e+00	5.751003080407e-01
100.01148708	2.698508720451e+00	4.391797365937e-01
104.01194656	2.995945384655e+00	8.848127847378e-01
108.01240605	3.197500622339e+00	1.129124237675e+00
112.01286553	3.095357698758e+00	1.202416732654e+00
116.01332501	2.397398740855e+00	1.343790995155e+00
120.01378450	2.552718691953e+00	1.302170555475e+00
124.01424398	2.551926841218e+00	1.413848166103e+00
128.01470346	2.219667918119e+00	1.801854261906e+00
132.01516295	1.878849377352e+00	1.867491665400e+00
136.01562243	1.775209268533e+00	1.718495536080e+00
140.01608191	1.775586070258e+00	1.769730912350e+00
144.01654140	1.775213835490e+00	1.767270816654e+00
148.01700088	1.886551142812e+00	1.766830969839e+00
152.01746036	1.775477272252e+00	1.769837740762e+00
156.01791985	1.886919436605e+00	1.773807806861e+00
160.01837933	1.996792576097e+00	1.775016570329e+00
164.01883881	1.776340853516e+00	1.775275675704e+00
168.01929830	1.997079046775e+00	1.775047937783e+00
172.01975778	1.776237679914e+00	1.774805937078e+00
