# meta_json: {"atom_symbols": ["P", "P", "P", "P"], "lattice_vectors_override_angstrom": [[3.2625138212665235, 0.0, 0.0], [0.0, 4.3413791830061905, 0.0], [0.0, 0.0, 20.28000809018394]], "lattice_vectors_raw": null, "source_format": "qe_q2r_fc", "thickness_angstrom": 5.3, "thickness_direction": 3, "transport_direction": 2, "transverse_area_m2": 1.7291323252712573e-19}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00	0.000000000000e+00
3.6454869143e-05	0.11993076	4.00045948	5.023379869927e-02	2.905144850114e+17
7.2909738285e-05	0.23986152	8.00091897	9.081614022927e-02	5.252122055785e+17
1.0936460743e-04	0.35979227	12.00137845	3.037206569127e-01	1.756491695134e+18
1.4581947657e-04	0.47972303	16.00183793	2.938933315871e-01	1.699657841635e+18
1.8227434571e-04	0.59965379	20.00229742	2.978559971879e-01	1.722574917111e+18
2.1872921486e-04	0.71958455	24.00275690	4.747988497794e-01	2.745879206815e+18
2.5518408400e-04	0.83951531	28.00321638	4.966854357396e-01	2.872454747856e+18
2.9163895314e-04	0.95944607	32.00367587	5.943501510828e-01	3.437273957559e+18
3.2809382228e-04	1.07937682	36.00413535	6.934388925220e-01	4.010328662459e+18
3.6454869143e-04	1.19930758	40.00459483	5.992702216739e-01	3.465727942943e+18
4.0100356057e-04	1.31923834	44.00505432	6.989869921301e-01	4.042414695015e+18
4.3745842971e-04	1.43916910	48.00551380	6.992958748180e-01	4.044201040012e+18
4.7391329885e-04	1.55909986	52.00597328	8.826711829965e-01	5.104705811674e+18
5.1036816800e-04	1.67903061	56.00643277	8.929627241951e-01	5.164224340407e+18
5.4682303714e-04	1.79896137	60.00689225	8.966146133480e-01	5.185344118804e+18
5.8327790628e-04	1.91889213	64.00735173	8.943177208308e-01	5.172060621159e+18
6.1973277542e-04	2.03882289	68.00781121	1.183733863030e+00	6.845825768970e+18
6.5618764457e-04	2.15875365	72.00827070	1.164977433810e+00	6.737352698714e+18
6.9264251371e-04	2.27868441	76.00873018	8.317729259397e-01	4.810348599603e+18
7.2909738285e-04	2.39861516	80.00918966	5.925388238716e-01	3.426798604200e+18
7.6555225199e-04	2.51854592	84.00964915	5.916438984835e-01	3.421623029288e+18
8.0200712114e-04	2.63847668	88.01010863	3.990449238165e-01	2.307775512518e+18
8.3846199028e-04	2.75840744	92.01056811	5.813447965736e-01	3.362060775091e+18
8.7491685942e-04	2.87833820	96.01102760	5.751003080407e-01	3.325947353106e+18
9.1137172856e-04	2.99826895	100.01148708	4.391797365937e-01	2.539885063596e+18
9.4782659771e-04	3.11819971	104.01194656	8.848127847378e-01	5.117091224346e+18
9.8428146685e-04	3.23813047	108.01240605	1.129124237675e+00	6.530004795890e+18
1.0207363360e-03	3.35806123	112.01286553	1.202416732654e+00	6.953873425885e+18
1.0571912051e-03	3.47799199	116.01332501	1.343790995155e+00	7.771475759927e+18
1.0936460743e-03	3.59792274	120.01378450	1.302170555475e+00	7.530774460944e+18
1.1301009434e-03	3.71785350	124.01424398	1.413848166103e+00	8.176633710673e+18
1.1665558126e-03	3.83778426	128.01470346	1.801854261906e+00	1.042056894994e+19
1.2030106817e-03	3.95771502	132.01516295	1.867491665400e+00	1.080016629211e+19
1.2394655508e-03	4.07764578	136.01562243	1.718495536080e+00	9.938484816713e+18
1.2759204200e-03	4.19757654	140.01608191	1.769730912350e+00	1.023479167259e+19
1.3123752891e-03	4.31750729	144.01654140	1.767270816654e+00	1.022056433059e+19
1.3488301583e-03	4.43743805	148.01700088	1.766830969839e+00	1.021802058765e+19
1.3852850274e-03	4.55736881	152.01746036	1.769837740762e+00	1.023540948773e+19
1.4217398966e-03	4.67729957	156.01791985	1.773807806861e+00	1.025836936212e+19
1.4581947657e-03	4.79723033	160.01837933	1.775016570329e+00	1.026535994028e+19
1.4946496348e-03	4.91716108	164.01883881	1.775275675704e+00	1.026685841076e+19
1.5311045040e-03	5.03709184	168.01929830	1.775047937783e+00	1.026554134603e+19
1.5675593731e-03	5.15702260	172.01975778	1.774805937078e+00	1.026414179609e+19
1.6040142423e-03	5.27695336	176.02021726	1.663628387840e+00	9.621174525084e+18
1.6404691114e-03	5.39688412	180.02067675	1.774362419547e+00	1.026157682448e+19
1.6769239806e-03	5.51681488	184.02113623	1.774336868270e+00	1.026142905513e+19
1.7133788497e-03	5.63674563	188.02159571	1.773689944154e+00	1.025768773292e+19
1.7498337188e-03	5.75667639	192.02205520	1.440633529840e+00	8.331540095485e+18
1.7862885880e-03	5.87660715	196.02251468	8.873731903941e-01	5.131898683665e+18
1.8227434571e-03	5.99653791	200.02297416	1.218458448562e+00	7.046646637473e+18
