# meta_json: {"atom_symbols": ["P", "P", "P", "P"], "lattice_vectors_override_angstrom": [[3.2625138212665235, 0.0, 0.0], [0.0, 4.3413791830061905, 0.0], [0.0, 0.0, 20.28000809018394]], "lattice_vectors_raw": null, "source_format": "qe_q2r_fc", "thickness_angstrom": 2.244, "thickness_direction": 3, "transport_direction": 1, "transverse_area_m2": 9.742054886665893e-20}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00	0.000000000000e+00
3.6454869143e-05	0.11993076	4.00045948	1.795593189412e-01	1.843135981372e+18
7.2909738285e-05	0.23986152	8.00091897	2.971624364854e-01	3.050305504767e+18
1.0936460743e-04	0.35979227	12.00137845	4.942136782338e-01	5.072992135471e+18
1.4581947657e-04	0.47972303	16.00183793	5.965334273990e-01	6.123281323486e+18
1.8227434571e-04	0.59965379	20.00229742	7.950149490382e-01	8.160649455243e+18
2.1872921486e-04	0.71958455	24.00275690	7.982396066893e-01	8.193749840004e+18
2.5518408400e-04	0.83951531	28.00321638	8.988174094885e-01	9.226158340770e+18
2.9163895314e-04	0.95944607	32.00367587	1.196216454773e+00	1.227889258159e+19
3.2809382228e-04	1.07937682	36.00413535	1.198651918754e+00	1.230389207101e+19
3.6454869143e-04	1.19930758	40.00459483	1.099448222256e+00	1.128558846205e+19
4.0100356057e-04	1.31923834	44.00505432	1.398391376778e+00	1.435417263654e+19
4.3745842971e-04	1.43916910	48.00551380	1.499173589247e+00	1.538867935654e+19
4.7391329885e-04	1.55909986	52.00597328	1.598674072783e+00	1.641002941763e+19
5.1036816800e-04	1.67903061	56.00643277	1.698705848693e+00	1.743683307531e+19
5.4682303714e-04	1.79896137	60.00689225	1.798328825248e+00	1.845944049966e+19
5.8327790628e-04	1.91889213	64.00735173	2.096805070854e+00	2.152323195924e+19
6.1973277542e-04	2.03882289	68.00781121	2.097689287411e+00	2.153230824312e+19
6.5618764457e-04	2.15875365	72.00827070	2.293448992547e+00	2.354173754128e+19
6.9264251371e-04	2.27868441	76.00873018	2.768470349160e+00	2.841772481645e+19
7.2909738285e-04	2.39861516	80.00918966	2.498446331095e+00	2.564598906658e+19
7.6555225199e-04	2.51854592	84.00964915	2.498840007259e+00	2.565003006378e+19
8.0200712114e-04	2.63847668	88.01010863	2.498979326114e+00	2.565146014045e+19
8.3846199028e-04	2.75840744	92.01056811	2.598882979498e+00	2.667694864926e+19
8.7491685942e-04	2.87833820	96.01102760	2.598798202276e+00	2.667607843016e+19
9.1137172856e-04	2.99826895	100.01148708	2.698508720451e+00	2.769958444952e+19
9.4782659771e-04	3.11819971	104.01194656	2.995945384655e+00	3.075270484008e+19
9.8428146685e-04	3.23813047	108.01240605	3.197500622339e+00	3.282162397499e+19
1.0207363360e-03	3.35806123	112.01286553	3.095357698758e+00	3.177314986179e+19
1.0571912051e-03	3.47799199	116.01332501	2.397398740855e+00	2.460875830352e+19
1.0936460743e-03	3.59792274	120.01378450	2.552718691953e+00	2.620308263144e+19
1.1301009434e-03	3.71785350	124.01424398	2.551926841218e+00	2.619495446193e+19
1.1665558126e-03	3.83778426	128.01470346	2.219667918119e+00	2.278439142400e+19
1.2030106817e-03	3.95771502	132.01516295	1.878849377352e+00	1.928596583791e+19
1.2394655508e-03	4.07764578	136.01562243	1.775209268533e+00	1.822212345532e+19
1.2759204200e-03	4.19757654	140.01608191	1.775586070258e+00	1.822599124019e+19
1.3123752891e-03	4.31750729	144.01654140	1.775213835490e+00	1.822217033410e+19
1.3488301583e-03	4.43743805	148.01700088	1.886551142812e+00	1.936502272631e+19
1.3852850274e-03	4.55736881	152.01746036	1.775477272252e+00	1.822487445315e+19
1.4217398966e-03	4.67729957	156.01791985	1.886919436605e+00	1.936880317917e+19
1.4581947657e-03	4.79723033	160.01837933	1.996792576097e+00	2.049662621826e+19
1.4946496348e-03	4.91716108	164.01883881	1.776340853516e+00	1.823373892039e+19
1.5311045040e-03	5.03709184	168.01929830	1.997079046775e+00	2.049956677527e+19
1.5675593731e-03	5.15702260	172.01975778	1.776237679914e+00	1.823267986660e+19
1.6040142423e-03	5.27695336	176.02021726	1.995602793870e+00	2.048441337157e+19
1.6404691114e-03	5.39688412	180.02067675	2.109143654518e+00	2.164988474254e+19
1.6769239806e-03	5.51681488	184.02113623	1.887083157099e+00	1.937048373318e+19
1.7133788497e-03	5.63674563	188.02159571	2.324624408983e+00	2.386174617190e+19
1.7498337188e-03	5.75667639	192.02205520	2.220312328923e+00	2.279100615581e+19
1.7862885880e-03	5.87660715	196.02251468	2.219384041993e+00	2.278147749948e+19
1.8227434571e-03	5.99653791	200.02297416	1.998490798870e+00	2.051405809266e+19
1.8591983263e-03	6.11646867	204.02343364	1.998644071763e+00	2.051563140441e+19
1.8956531954e-03	6.23639942	208.02389313	1.887704786737e+00	1.937686462145e+19
1.9321080646e-03	6.35633018	212.02435261	1.665709962854e+00	1.709813773616e+19
1.9685629337e-03	6.47626094	216.02481209	1.554632364812e+00	1.595795120124e+19
2.0050178028e-03	6.59619170	220.02527158	2.109214362505e+00	2.165061054411e+19
2.0414726720e-03	6.71612246	224.02573106	2.441477652145e+00	2.506121840359e+19
2.0779275411e-03	6.83605322	228.02619054	1.998815992511e+00	2.051739613217e+19
2.1143824103e-03	6.95598397	232.02665003	1.998696354014e+00	2.051616806994e+19
2.1508372794e-03	7.07591473	236.02710951	1.998639473141e+00	2.051558420058e+19
2.1872921486e-03	7.19584549	240.02756899	1.998507053329e+00	2.051422494103e+19
2.2237470177e-03	7.31577625	244.02802848	1.998505754002e+00	2.051421160372e+19
2.2602018868e-03	7.43570701	248.02848796	1.998193286833e+00	2.051100419859e+19
2.2966567560e-03	7.55563776	252.02894744	1.998145845230e+00	2.051051722122e+19
2.3331116251e-03	7.67556852	256.02940693	1.997226376847e+00	2.050107908528e+19
2.3695664943e-03	7.79549928	260.02986641	1.884703508267e+00	1.934605717369e+19
2.4060213634e-03	7.91543004	264.03032589	1.098977021963e+00	1.128075169714e+19
2.4424762326e-03	8.03536080	268.03078538	1.466382321085e-01	1.505208437176e+18
2.4789311017e-03	8.15529155	272.03124486	1.070043866388e-11	1.098375936941e+08
2.5153859708e-03	8.27522231	276.03170434	7.849255416797e-13	8.057083960325e+06
2.5518408400e-03	8.39515307	280.03216383	1.188385496276e-13	1.219850955574e+06
2.5882957091e-03	8.51508383	284.03262331	2.628388276091e-14	2.697981387570e+05
