# omega_qe	freq_thz	freq_cm^-1	transmission
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00
1.5384615385e-04	0.50612953	16.88266395	1.070243364033e-06
3.0769230769e-04	1.01225906	33.76532790	2.017097057958e-03
4.6153846154e-04	1.51838860	50.64799185	1.436451417638e-02
6.1538461538e-04	2.02451813	67.53065580	2.109027553402e-01
7.6923076923e-04	2.53064766	84.41331976	1.827089575244e-01
9.2307692308e-04	3.03677719	101.29598371	2.021024064728e-01
1.0769230769e-03	3.54290673	118.17864766	6.725487912074e-01
1.2307692308e-03	4.04903626	135.06131161	6.212923823758e-01
1.3846153846e-03	4.55516579	151.94397556	7.593367250900e-01
1.5384615385e-03	5.06129532	168.82663951	1.489777530719e+00
1.6923076923e-03	5.56742486	185.70930346	1.567022759236e+00
1.8461538462e-03	6.07355439	202.59196741	1.221929783062e+00
2.0000000000e-03	6.57968392	219.47463136	5.150335075896e-01
2.1538461538e-03	7.08581345	236.35729531	1.307898215856e-01
2.3076923077e-03	7.59194299	253.23995927	6.109939711237e-02
2.4615384615e-03	8.09807252	270.12262322	1.182476943892e-01
2.6153846154e-03	8.60420205	287.00528717	3.561579837738e-01
2.7692307692e-03	9.11033158	303.88795112	4.142561281463e-01
2.9230769231e-03	9.61646111	320.77061507	4.770616620641e-01
3.0769230769e-03	10.12259065	337.65327902	2.467240127552e-01
3.2307692308e-03	10.62872018	354.53594297	2.046078619477e-01
3.3846153846e-03	11.13484971	371.41860692	8.126688984228e-02
3.5384615385e-03	11.64097924	388.30127087	5.893278780203e-01
3.6923076923e-03	12.14710878	405.18393483	9.492499353964e-01
3.8461538462e-03	12.65323831	422.06659878	1.243158716003e+00
4.0000000000e-03	13.15936784	438.94926273	6.670930591032e-01
4.1538461538e-03	13.66549737	455.83192668	3.982941231796e-01
4.3076923077e-03	14.17162691	472.71459063	4.874509871019e-01
4.4615384615e-03	14.67775644	489.59725458	3.965244274022e-01
4.6153846154e-03	15.18388597	506.47991853	6.032589812919e-02
4.7692307692e-03	15.69001550	523.36258248	4.919201413940e-44
4.9230769231e-03	16.19614504	540.24524643	5.299026397112e-78
5.0769230769e-03	16.70227457	557.12791038	7.864401396711e-100
5.2307692308e-03	17.20840410	574.01057434	5.010883246291e-112
5.3846153846e-03	17.71453363	590.89323829	1.726637360815e-120
5.5384615385e-03	18.22066316	607.77590224	4.326921890388e-127
5.6923076923e-03	18.72679270	624.65856619	9.299437871183e-133
5.8461538462e-03	19.23292223	641.54123014	9.423899965954e-138
6.0000000000e-03	19.73905176	658.42389409	3.030692626844e-142
