# omega_qe	freq_thz	freq_cm^-1	transmission
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00
1.5384615385e-04	0.50612953	16.88266395	6.925756195358e-02
3.0769230769e-04	1.01225906	33.76532790	7.917794934631e-02
4.6153846154e-04	1.51838860	50.64799185	1.267269984463e-01
6.1538461538e-04	2.02451813	67.53065580	1.758348045947e-01
7.6923076923e-04	2.53064766	84.41331976	2.906767369805e-01
9.2307692308e-04	3.03677719	101.29598371	5.740424245180e-01
1.0769230769e-03	3.54290673	118.17864766	1.063889494676e+00
1.2307692308e-03	4.04903626	135.06131161	1.516862333446e+00
1.3846153846e-03	4.55516579	151.94397556	1.784818529648e+00
1.5384615385e-03	5.06129532	168.82663951	1.558396931378e+00
1.6923076923e-03	5.56742486	185.70930346	1.223703442937e+00
1.8461538462e-03	6.07355439	202.59196741	1.013386325584e+00
2.0000000000e-03	6.57968392	219.47463136	5.431587006676e-01
2.1538461538e-03	7.08581345	236.35729531	3.504918513043e-01
2.3076923077e-03	7.59194299	253.23995927	4.306496817787e-01
2.4615384615e-03	8.09807252	270.12262322	5.209946197187e-01
2.6153846154e-03	8.60420205	287.00528717	6.130617111147e-01
2.7692307692e-03	9.11033158	303.88795112	7.648028371830e-01
2.9230769231e-03	9.61646111	320.77061507	9.394575406240e-01
3.0769230769e-03	10.12259065	337.65327902	9.287852463266e-01
3.2307692308e-03	10.62872018	354.53594297	5.934602931601e-01
3.3846153846e-03	11.13484971	371.41860692	4.195865481020e-01
3.5384615385e-03	11.64097924	388.30127087	5.852794360063e-01
3.6923076923e-03	12.14710878	405.18393483	8.608541488057e-01
3.8461538462e-03	12.65323831	422.06659878	8.351136001928e-01
4.0000000000e-03	13.15936784	438.94926273	6.738468014276e-01
4.1538461538e-03	13.66549737	455.83192668	5.937291559113e-01
4.3076923077e-03	14.17162691	472.71459063	1.637102732540e+00
4.4615384615e-03	14.67775644	489.59725458	1.604876754072e+00
4.6153846154e-03	15.18388597	506.47991853	2.788266555018e-01
4.7692307692e-03	15.69001550	523.36258248	8.013723810718e-12
4.9230769231e-03	16.19614504	540.24524643	7.702597107995e-53
5.0769230769e-03	16.70227457	557.12791038	5.768797353348e-67
5.2307692308e-03	17.20840410	574.01057434	2.082777795064e-76
5.3846153846e-03	17.71453363	590.89323829	1.892902027990e-83
5.5384615385e-03	18.22066316	607.77590224	1.619734733092e-88
5.6923076923e-03	18.72679270	624.65856619	1.257154335491e-92
5.8461538462e-03	19.23292223	641.54123014	2.748381681970e-96
6.0000000000e-03	19.73905176	658.42389409	1.288005354697e-99
