# omega_qe	freq_thz	freq_cm^-1	transmission
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00
1.5384615385e-04	0.50612953	16.88266395	2.461074142920e-02
3.0769230769e-04	1.01225906	33.76532790	3.923249290304e-02
4.6153846154e-04	1.51838860	50.64799185	6.116489538158e-02
6.1538461538e-04	2.02451813	67.53065580	1.321030409874e-01
7.6923076923e-04	2.53064766	84.41331976	2.252356331038e-01
9.2307692308e-04	3.03677719	101.29598371	4.922049364857e-01
1.0769230769e-03	3.54290673	118.17864766	9.313092818459e-01
1.2307692308e-03	4.04903626	135.06131161	1.429166453622e+00
1.3846153846e-03	4.55516579	151.94397556	1.674489745812e+00
1.5384615385e-03	5.06129532	168.82663951	1.407307894320e+00
1.6923076923e-03	5.56742486	185.70930346	1.199530325016e+00
1.8461538462e-03	6.07355439	202.59196741	9.922335572717e-01
2.0000000000e-03	6.57968392	219.47463136	4.886270342423e-01
2.1538461538e-03	7.08581345	236.35729531	3.013716078466e-01
2.3076923077e-03	7.59194299	253.23995927	3.757839587482e-01
2.4615384615e-03	8.09807252	270.12262322	4.718053860753e-01
2.6153846154e-03	8.60420205	287.00528717	5.917484676932e-01
2.7692307692e-03	9.11033158	303.88795112	7.362607770688e-01
2.9230769231e-03	9.61646111	320.77061507	8.933002329861e-01
3.0769230769e-03	10.12259065	337.65327902	9.599634347219e-01
3.2307692308e-03	10.62872018	354.53594297	5.514916078522e-01
3.3846153846e-03	11.13484971	371.41860692	4.239162469321e-01
3.5384615385e-03	11.64097924	388.30127087	6.545111386849e-01
3.6923076923e-03	12.14710878	405.18393483	8.177944533584e-01
3.8461538462e-03	12.65323831	422.06659878	8.395561782969e-01
4.0000000000e-03	13.15936784	438.94926273	6.617610098632e-01
4.1538461538e-03	13.66549737	455.83192668	5.462286266875e-01
4.3076923077e-03	14.17162691	472.71459063	1.676925595303e+00
4.4615384615e-03	14.67775644	489.59725458	1.456958129140e+00
4.6153846154e-03	15.18388597	506.47991853	2.239896486103e-01
4.7692307692e-03	15.69001550	523.36258248	2.832257941874e-32
4.9230769231e-03	16.19614504	540.24524643	2.889189286342e-62
5.0769230769e-03	16.70227457	557.12791038	2.933286211474e-76
5.2307692308e-03	17.20840410	574.01057434	2.204040642698e-84
5.3846153846e-03	17.71453363	590.89323829	8.258780190452e-90
5.5384615385e-03	18.22066316	607.77590224	2.144551158799e-94
5.6923076923e-03	18.72679270	624.65856619	2.043920498750e-98
5.8461538462e-03	19.23292223	641.54123014	5.240253972160e-102
6.0000000000e-03	19.73905176	658.42389409	2.942034818150e-105
