# meta_json: {"atom_symbols": ["Si", "Si"], "lattice_vectors_override_angstrom": null, "lattice_vectors_raw": [[13.734417186872, 0.0, 0.0], [0.0, 13.734417186872, 0.0], [0.0, 0.0, 13.734417186872]], "source_format": "qe_q2r_fc", "thickness_angstrom": null, "thickness_direction": null, "transport_direction": 1, "transverse_area_m2": 5.282296027916617e-19}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00	0.000000000000e+00
1.5384615385e-04	0.50612953	16.88266395	2.461074143263e-02	4.659099244450e+16
3.0769230769e-04	1.01225906	33.76532790	3.923249290149e-02	7.427166651424e+16
4.6153846154e-04	1.51838860	50.64799185	6.116489538013e-02	1.157922521890e+17
6.1538461538e-04	2.02451813	67.53065580	1.321030409875e-01	2.500864023700e+17
7.6923076923e-04	2.53064766	84.41331976	2.252356331033e-01	4.263972180145e+17
9.2307692308e-04	3.03677719	101.29598371	4.922049364940e-01	9.318011218847e+17
1.0769230769e-03	3.54290673	118.17864766	9.313092818382e-01	1.763076656280e+18
1.2307692308e-03	4.04903626	135.06131161	1.429166453622e+00	2.705578116163e+18
1.3846153846e-03	4.55516579	151.94397556	1.674489745884e+00	3.170003606452e+18
1.5384615385e-03	5.06129532	168.82663951	1.407307894340e+00	2.664197324236e+18
1.6923076923e-03	5.56742486	185.70930346	1.199530325014e+00	2.270850248973e+18
1.8461538462e-03	6.07355439	202.59196741	9.922335572766e-01	1.878413386968e+18
2.0000000000e-03	6.57968392	219.47463136	4.886270342671e-01	9.250277373413e+17
2.1538461538e-03	7.08581345	236.35729531	3.013716078465e-01	5.705314625568e+17
2.3076923077e-03	7.59194299	253.23995927	3.757839587582e-01	7.114026869608e+17
2.4615384615e-03	8.09807252	270.12262322	4.718053860752e-01	8.931824032233e+17
2.6153846154e-03	8.60420205	287.00528717	5.917484676903e-01	1.120248589937e+18
2.7692307692e-03	9.11033158	303.88795112	7.362607770657e-01	1.393827178891e+18
2.9230769231e-03	9.61646111	320.77061507	8.933002329874e-01	1.691121111476e+18
3.0769230769e-03	10.12259065	337.65327902	9.599634347214e-01	1.817322296305e+18
3.2307692308e-03	10.62872018	354.53594297	5.514916078530e-01	1.044037677817e+18
3.3846153846e-03	11.13484971	371.41860692	4.239162469301e-01	8.025226997686e+17
3.5384615385e-03	11.64097924	388.30127087	6.545111386872e-01	1.239065616974e+18
3.6923076923e-03	12.14710878	405.18393483	8.177944533572e-01	1.548179899489e+18
3.8461538462e-03	12.65323831	422.06659878	8.395561782937e-01	1.589377372750e+18
4.0000000000e-03	13.15936784	438.94926273	6.617610098613e-01	1.252790465290e+18
4.1538461538e-03	13.66549737	455.83192668	5.462286266832e-01	1.034074243088e+18
4.3076923077e-03	14.17162691	472.71459063	1.676925595307e+00	3.174614952370e+18
4.4615384615e-03	14.67775644	489.59725458	1.456958129130e+00	2.758190986326e+18
4.6153846154e-03	15.18388597	506.47991853	2.239896486092e-01	4.240384246271e+17
4.7692307692e-03	15.69001550	523.36258248	2.832257939556e-32	5.361793289486e-14
4.9230769231e-03	16.19614504	540.24524643	2.889189286354e-62	5.469570942418e-44
5.0769230769e-03	16.70227457	557.12791038	2.933286211475e-76	5.553051544201e-58
5.2307692308e-03	17.20840410	574.01057434	2.204040642702e-84	4.172504969531e-66
5.3846153846e-03	17.71453363	590.89323829	8.258780190481e-90	1.563483028371e-71
5.5384615385e-03	18.22066316	607.77590224	2.144551158810e-94	4.059884465914e-76
5.6923076923e-03	18.72679270	624.65856619	2.043920498764e-98	3.869378936663e-80
5.8461538462e-03	19.23292223	641.54123014	5.240253972152e-102	9.920409504613e-84
6.0000000000e-03	19.73905176	658.42389409	2.942034818154e-105	5.569613672928e-87
