# freq_cm^-1	transmission_per_m2_x	transmission_per_m2_y
0.00000000	0.000000000000e+00	0.000000000000e+00
1.70093451	8.787716558360e+17	5.406604073284e+17
3.40186901	1.779968791224e+18	1.525690920347e+18
5.10280352	2.810511022154e+18	3.295276727958e+18
6.80373802	3.202542122290e+18	3.251955752085e+18
8.50467253	4.163022312889e+18	4.195206522542e+18
10.20560703	4.178557327266e+18	4.370894020369e+18
11.90654154	4.811890953144e+18	4.383288190644e+18
13.60747604	5.468794514616e+18	5.532772202622e+18
15.30841055	5.808437359667e+18	5.558736086226e+18
17.00934505	6.119698906953e+18	6.118514265474e+18
18.71027956	6.439012509862e+18	6.122995627601e+18
20.41121406	7.327664147720e+18	7.781134230304e+18
22.11214857	7.711141600240e+18	7.793845095347e+18
23.81308307	8.033759440354e+18	8.346055208758e+18
25.51401758	8.253982274457e+18	9.461997808515e+18
27.21495208	8.685989297518e+18	8.915495922259e+18
28.91588659	9.622560150192e+18	9.470931520509e+18
30.61682109	1.057272464811e+19	1.057579469296e+19
32.31775560	1.487333644201e+19	1.576848301914e+19
34.01869010	1.310730501570e+19	1.337413105336e+19
35.71962461	1.221159362701e+19	1.223681761186e+19
37.42055911	1.365789681636e+19	1.599761619057e+19
39.12149362	1.431018173095e+19	1.384094182923e+19
40.82242813	1.445242147521e+19	1.448930321298e+19
42.52336263	1.366048781850e+19	1.500233918043e+19
44.22429714	1.271920376289e+19	1.225688135771e+19
45.92523164	1.191394628817e+19	1.334756132197e+19
47.62616615	1.055190574371e+19	1.158659466938e+19
49.32710065	1.184916806718e+19	1.214184042726e+19
51.02803516	1.044507498890e+19	1.036854409992e+19
52.72896966	3.500687933018e+18	3.345724210361e+18
54.42990417	2.736963778665e+18	2.783674402600e+18
56.13083867	1.896871535899e+18	1.651716365337e+18
57.83177318	6.124420030460e+08	2.435220396385e+08
59.53270768	9.333720733198e+05	3.752961039070e+05
61.23364219	1.474736665539e+05	1.781265815973e+04
62.93457669	5.796980723191e+04	3.018206203862e+03
64.63551120	2.857044088316e+04	9.455204641913e+02
66.33644570	1.627247117353e+04	4.104612100660e+02
68.03738021	1.040247723753e+04	2.180564288151e+02
69.73831471	7.331826473503e+03	1.336417918509e+02
71.43924922	5.624685744268e+03	9.156526277079e+01
73.14018372	4.651897589128e+03	6.887947550967e+01
74.84111823	4.118668670764e+03	5.628453588363e+01
76.54205274	3.884748144911e+03	4.965338946823e+01
78.24298724	3.891643046737e+03	4.713854270373e+01
79.94392175	4.134745651091e+03	4.810749978100e+01
81.64485625	4.659308746964e+03	5.281647892696e+01
83.34579076	5.576599281340e+03	6.252891268595e+01
85.04672526	7.109646531936e+03	8.015871244815e+01
86.74765977	9.699323218623e+03	1.119619581683e+02
88.44859427	1.425378831092e+04	1.718732642288e+02
90.14952878	2.277498362946e+04	2.934097417892e+02
91.85046328	4.008094329756e+04	5.658341740898e+02
93.55139779	7.910122116593e+04	1.258708493226e+03
95.25233229	1.795726573191e+05	3.322116433409e+03
96.95326680	4.866882872586e+05	1.082148287987e+04
98.65420130	1.668288949587e+06	4.616491466641e+04
100.35513581	7.988529025282e+06	2.851327457249e+05
102.05607031	6.560236569616e+07	3.125425687384e+06
103.75700482	1.698763443745e+09	1.086524389451e+08
105.45793932	5.036876200842e+17	1.185249905978e+13
107.15887383	4.482557821750e+18	4.352098666452e+18
108.85980833	4.496323200989e+18	4.993964760618e+18
110.56074284	4.502643565169e+18	4.458614448401e+18
112.26167734	4.185661927721e+18	4.999444775125e+18
113.96261185	4.493129573504e+18	5.006334563889e+18
115.66354636	4.180490011561e+18	4.829359200583e+18
117.36448086	4.784221372236e+18	4.453135915440e+18
119.06541537	4.171222014953e+18	4.978371626489e+18
120.76634987	4.081699751855e+18	3.737789274924e+18
122.46728438	4.647060465623e+18	4.343383904558e+18
124.16821888	4.623466076312e+18	4.962837608890e+18
125.86915339	4.300744732204e+18	4.963478749668e+18
127.57008789	5.013639817517e+18	4.963515732627e+18
129.27102240	5.006937654144e+18	4.963543906089e+18
130.97195690	5.372089582452e+18	5.583223220325e+18
132.67289141	5.374155962234e+18	5.583772537653e+18
134.37382591	5.369808350120e+18	5.583882897225e+18
136.07476042	5.732664176969e+18	6.198104035502e+18
137.77569492	5.732667099456e+18	6.202755082854e+18
139.47662943	6.440236958689e+18	6.202185073697e+18
141.17756393	6.090339077878e+18	6.201571184930e+18
142.87849844	6.799005201510e+18	6.820890182639e+18
144.57943294	6.071960027024e+18	5.581316738769e+18
146.28036745	4.373090288487e+18	5.577984319757e+18
147.98130195	2.865607533386e+18	2.482245325669e+18
149.68223646	2.856769877762e+18	2.481870443342e+18
151.38317097	2.505953691921e+18	3.096315569716e+18
153.08410547	2.828204969232e+18	3.098633674712e+18
154.78503998	2.408076387676e+18	1.860135946898e+18
156.48597448	2.147291562069e+18	1.860251992125e+18
158.18690899	2.861019585955e+18	2.477278628772e+18
159.88784349	3.577778200883e+18	3.099693850233e+18
161.58877800	4.295522372509e+18	3.720896947164e+18
163.28971250	6.338167261831e+18	6.187297907216e+18
164.99064701	6.087221415913e+18	5.581204201473e+18
166.69158151	5.642328684943e+18	5.581488278711e+18
168.39251602	5.730350257162e+18	5.580541846620e+18
170.09345052	5.723673130123e+18	4.962242476174e+18
171.79438503	5.372327047572e+18	4.962030217365e+18
173.49531953	5.370149157724e+18	4.961869587299e+18
175.19625404	5.014322684590e+18	4.960536738971e+18
176.89718854	5.012873088538e+18	4.342251899354e+18
178.59812305	4.656242606415e+18	4.341988389070e+18
180.29905755	5.342150897251e+18	4.874893836026e+18
181.99999206	5.725340464171e+18	6.156121357953e+18
183.70092656	7.150253760116e+18	6.776648842206e+18
185.40186107	8.191597504945e+18	6.786958076546e+18
187.10279557	9.557651123632e+18	9.208939424393e+18
188.80373008	7.479002670497e+18	6.782489548842e+18
190.50466459	6.691341687905e+18	6.173224429860e+18
192.20559909	5.696638412059e+18	6.174372387854e+18
193.90653360	4.628947276728e+18	4.328899815822e+18
195.60746810	3.874838395877e+18	4.234495139939e+18
197.30840261	2.625767049922e+18	2.470594875426e+18
199.00933711	3.831781982269e+13	1.017469612545e+11
200.71027162	2.856410598993e+07	1.488609006332e+06
202.41120612	9.016239610879e+05	2.878744699167e+04
