# freq_cm^-1	transmission_x	transmission_y
0.00000000	0.000000000000e+00	0.000000000000e+00
1.70093451	2.722015259350e-01	9.668929787259e-02
3.40186901	5.513493953406e-01	2.728477651764e-01
5.10280352	8.705622032831e-01	5.893126051092e-01
6.80373802	9.919947312468e-01	5.815652748377e-01
8.50467253	1.289505662300e+00	7.502520391672e-01
10.20560703	1.294317668458e+00	7.816712083529e-01
11.90654154	1.490494204473e+00	7.838877265321e-01
13.60747604	1.693971581829e+00	9.894563247269e-01
15.30841055	1.799176728219e+00	9.940995899664e-01
17.00934505	1.895590702855e+00	1.094207824973e+00
18.71027956	1.994498820096e+00	1.095009251806e+00
20.41121406	2.269760693011e+00	1.391543370261e+00
22.11214857	2.388543709104e+00	1.393816524721e+00
23.81308307	2.488475321360e+00	1.492571320560e+00
25.51401758	2.556689846818e+00	1.692141522066e+00
27.21495208	2.690505008141e+00	1.594407560133e+00
28.91588659	2.980609967206e+00	1.693739187307e+00
30.61682109	3.274925588911e+00	1.891327993406e+00
32.31775560	4.607049906962e+00	2.819965233204e+00
34.01869010	4.060017642210e+00	2.391769997725e+00
35.71962461	3.782568995365e+00	2.188377930116e+00
37.42055911	4.230564709029e+00	2.860942388485e+00
39.12149362	4.432611449975e+00	2.475252356606e+00
40.82242813	4.476670535379e+00	2.591202417149e+00
42.52336263	4.231367277855e+00	2.682951483298e+00
44.22429714	3.939802393424e+00	2.191966041014e+00
45.92523164	3.690372052864e+00	2.387018385366e+00
47.62616615	3.268476885758e+00	2.072094956708e+00
49.32710065	3.670306851076e+00	2.171392633675e+00
51.02803516	3.235385815647e+00	1.854264220929e+00
52.72896966	1.084346076551e+00	5.983344080504e-01
54.42990417	8.477807767623e-01	4.978199251232e-01
56.13083867	5.875602873003e-01	2.953855941444e-01
57.83177318	1.897053081636e-10	4.355039634860e-11
59.53270768	2.891141298601e-13	6.711628277053e-14
61.23364219	4.568030478067e-14	3.185536405780e-15
62.93457669	1.795628008925e-14	5.397625473043e-16
64.63551120	8.849759267249e-15	1.690926662423e-16
66.33644570	5.040435083167e-15	7.340505364785e-17
68.03738021	3.222191064943e-15	3.899623999271e-17
69.73831471	2.271049982921e-15	2.389990249952e-17
71.43924922	1.742259245990e-15	1.637512354673e-17
73.14018372	1.440935894831e-15	1.231809844884e-17
74.84111823	1.275767020428e-15	1.006567557363e-17
76.54205274	1.203309603690e-15	8.879790899431e-18
78.24298724	1.205445315266e-15	8.430046911113e-18
79.94392175	1.280746901775e-15	8.603330876798e-18
81.64485625	1.443231517884e-15	9.445463722384e-18
83.34579076	1.727364354355e-15	1.118239209380e-17
85.04672526	2.202229238960e-15	1.433522691865e-17
86.74765977	3.004387502842e-15	2.002277765673e-17
88.44859427	4.415143459418e-15	3.073704864662e-17
90.14952878	7.054603156477e-15	5.247209068398e-17
91.85046328	1.241516365947e-14	1.011912621370e-16
93.55139779	2.450178378159e-14	2.251018176782e-16
95.25233229	5.562304042675e-14	5.941124984249e-16
96.95326680	1.507528077023e-13	1.935265773881e-15
98.65420130	5.167563095172e-13	8.255927611751e-15
100.35513581	2.474465097067e-12	5.099186959306e-14
102.05607031	2.032048249263e-11	5.589372019293e-13
103.75700482	5.261958536317e-10	1.943091798725e-11
105.45793932	1.560183898410e-01	2.119648112923e-06
107.15887383	1.388482515416e+00	7.783099310172e-01
108.85980833	1.392746373051e+00	8.930984029154e-01
110.56074284	1.394704120280e+00	7.973587387890e-01
112.26167734	1.296518334663e+00	8.940784242889e-01
113.96261185	1.391757139650e+00	8.953105634082e-01
115.66354636	1.294916321829e+00	8.636610780993e-01
117.36448086	1.481923488639e+00	7.963789823684e-01
119.06541537	1.292045538728e+00	8.903097962963e-01
120.76634987	1.264315813425e+00	6.684495770162e-01
122.46728438	1.439437584786e+00	7.767514218361e-01
124.16821888	1.432129168849e+00	8.875317618139e-01
125.86915339	1.332165495994e+00	8.876464205735e-01
127.57008789	1.552986375645e+00	8.876530344411e-01
129.27102240	1.550910365244e+00	8.876580728576e-01
130.97195690	1.664017008391e+00	9.984787599052e-01
132.67289141	1.664657074244e+00	9.985769973682e-01
134.37382591	1.663310391470e+00	9.985967335823e-01
136.07476042	1.775705811948e+00	1.108441304765e+00
137.77569492	1.775706717196e+00	1.109273077347e+00
139.47662943	1.994878095915e+00	1.109171139449e+00
141.17756393	1.886496428794e+00	1.109061354318e+00
142.87849844	2.106007377912e+00	1.219817603964e+00
144.57943294	1.880803475847e+00	9.981378132397e-01
146.28036745	1.354574697161e+00	9.975418582741e-01
147.98130195	8.876284733789e-01	4.439136922794e-01
149.68223646	8.848909893799e-01	4.438466499947e-01
151.38317097	7.762248751804e-01	5.537312782105e-01
153.08410547	8.760429437717e-01	5.541458377778e-01
154.78503998	7.459071568141e-01	3.326584233194e-01
156.48597448	6.651284619169e-01	3.326791763307e-01
158.18690899	8.862073461916e-01	4.430254703397e-01
159.88784349	1.108224962958e+00	5.543354348435e-01
161.58877800	1.330547858160e+00	6.654286283978e-01
163.28971250	1.963261774369e+00	1.106508784938e+00
