# meta_json: {"atom_symbols": ["Sn", "Sn", "Sn", "Sn"], "lattice_vectors_override_angstrom": null, "lattice_vectors_raw": null, "source_format": "qe_q2r_fc", "thickness_angstrom": null, "thickness_direction": null, "transport_direction": 1}
# omega_qe	freq_thz	freq_cm^-1	transmission
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00
1.5500055698e-05	0.05099273	1.70093451	2.722015259350e-01
3.1000111396e-05	0.10198547	3.40186901	5.513493953406e-01
4.6500167094e-05	0.15297820	5.10280352	8.705622032831e-01
6.2000222792e-05	0.20397093	6.80373802	9.919947312468e-01
7.7500278490e-05	0.25496367	8.50467253	1.289505662300e+00
9.3000334189e-05	0.30595640	10.20560703	1.294317668458e+00
1.0850038989e-04	0.35694914	11.90654154	1.490494204473e+00
1.2400044558e-04	0.40794187	13.60747604	1.693971581829e+00
1.3950050128e-04	0.45893460	15.30841055	1.799176728219e+00
1.5500055698e-04	0.50992734	17.00934505	1.895590702855e+00
1.7050061268e-04	0.56092007	18.71027956	1.994498820096e+00
1.8600066838e-04	0.61191280	20.41121406	2.269760693011e+00
2.0150072408e-04	0.66290554	22.11214857	2.388543709104e+00
2.1700077977e-04	0.71389827	23.81308307	2.488475321360e+00
2.3250083547e-04	0.76489100	25.51401758	2.556689846818e+00
2.4800089117e-04	0.81588374	27.21495208	2.690505008141e+00
2.6350094687e-04	0.86687647	28.91588659	2.980609967206e+00
2.7900100257e-04	0.91786921	30.61682109	3.274925588911e+00
2.9450105826e-04	0.96886194	32.31775560	4.607049906962e+00
3.1000111396e-04	1.01985467	34.01869010	4.060017642210e+00
3.2550116966e-04	1.07084741	35.71962461	3.782568995365e+00
3.4100122536e-04	1.12184014	37.42055911	4.230564709029e+00
3.5650128106e-04	1.17283287	39.12149362	4.432611449975e+00
3.7200133675e-04	1.22382561	40.82242813	4.476670535379e+00
3.8750139245e-04	1.27481834	42.52336263	4.231367277855e+00
4.0300144815e-04	1.32581107	44.22429714	3.939802393424e+00
4.1850150385e-04	1.37680381	45.92523164	3.690372052864e+00
4.3400155955e-04	1.42779654	47.62616615	3.268476885758e+00
4.4950161524e-04	1.47878928	49.32710065	3.670306851076e+00
4.6500167094e-04	1.52978201	51.02803516	3.235385815647e+00
4.8050172664e-04	1.58077474	52.72896966	1.084346076551e+00
4.9600178234e-04	1.63176748	54.42990417	8.477807767623e-01
5.1150183804e-04	1.68276021	56.13083867	5.875602873003e-01
5.2700189374e-04	1.73375294	57.83177318	1.897053081636e-10
5.4250194943e-04	1.78474568	59.53270768	2.891141298601e-13
5.5800200513e-04	1.83573841	61.23364219	4.568030478067e-14
5.7350206083e-04	1.88673114	62.93457669	1.795628008925e-14
5.8900211653e-04	1.93772388	64.63551120	8.849759267249e-15
6.0450217223e-04	1.98871661	66.33644570	5.040435083167e-15
6.2000222792e-04	2.03970934	68.03738021	3.222191064943e-15
6.3550228362e-04	2.09070208	69.73831471	2.271049982921e-15
6.5100233932e-04	2.14169481	71.43924922	1.742259245990e-15
6.6650239502e-04	2.19268755	73.14018372	1.440935894831e-15
6.8200245072e-04	2.24368028	74.84111823	1.275767020428e-15
6.9750250641e-04	2.29467301	76.54205274	1.203309603690e-15
7.1300256211e-04	2.34566575	78.24298724	1.205445315266e-15
7.2850261781e-04	2.39665848	79.94392175	1.280746901775e-15
7.4400267351e-04	2.44765121	81.64485625	1.443231517884e-15
7.5950272921e-04	2.49864395	83.34579076	1.727364354355e-15
7.7500278490e-04	2.54963668	85.04672526	2.202229238960e-15
7.9050284060e-04	2.60062941	86.74765977	3.004387502842e-15
8.0600289630e-04	2.65162215	88.44859427	4.415143459418e-15
8.2150295200e-04	2.70261488	90.14952878	7.054603156477e-15
8.3700300770e-04	2.75360762	91.85046328	1.241516365947e-14
8.5250306340e-04	2.80460035	93.55139779	2.450178378159e-14
8.6800311909e-04	2.85559308	95.25233229	5.562304042675e-14
8.8350317479e-04	2.90658582	96.95326680	1.507528077023e-13
8.9900323049e-04	2.95757855	98.65420130	5.167563095172e-13
9.1450328619e-04	3.00857128	100.35513581	2.474465097067e-12
9.3000334189e-04	3.05956402	102.05607031	2.032048249263e-11
