# meta_json: {"atom_symbols": ["Sn", "Sn", "Sn", "Sn"], "lattice_vectors_override_angstrom": [[4.522901963739642, 0.0, 0.0], [0.0, 7.833896869197211, 0.0], [0.0, 0.0, 17.000005466010006]], "lattice_vectors_raw": null, "source_format": "qe_q2r_fc", "thickness_angstrom": 3.954, "thickness_direction": 3, "transport_direction": 2, "transverse_area_m2": 1.7883554364626547e-19}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00	0.000000000000e+00
1.5500055698e-05	0.05099273	1.70093451	9.668929787259e-02	5.406604073284e+17
3.1000111396e-05	0.10198547	3.40186901	2.728477651764e-01	1.525690920347e+18
4.6500167094e-05	0.15297820	5.10280352	5.893126051092e-01	3.295276727958e+18
6.2000222792e-05	0.20397093	6.80373802	5.815652748377e-01	3.251955752085e+18
7.7500278490e-05	0.25496367	8.50467253	7.502520391672e-01	4.195206522542e+18
9.3000334189e-05	0.30595640	10.20560703	7.816712083529e-01	4.370894020369e+18
1.0850038989e-04	0.35694914	11.90654154	7.838877265321e-01	4.383288190644e+18
1.2400044558e-04	0.40794187	13.60747604	9.894563247269e-01	5.532772202622e+18
1.3950050128e-04	0.45893460	15.30841055	9.940995899664e-01	5.558736086226e+18
1.5500055698e-04	0.50992734	17.00934505	1.094207824973e+00	6.118514265474e+18
1.7050061268e-04	0.56092007	18.71027956	1.095009251806e+00	6.122995627601e+18
1.8600066838e-04	0.61191280	20.41121406	1.391543370261e+00	7.781134230304e+18
2.0150072408e-04	0.66290554	22.11214857	1.393816524721e+00	7.793845095347e+18
2.1700077977e-04	0.71389827	23.81308307	1.492571320560e+00	8.346055208758e+18
2.3250083547e-04	0.76489100	25.51401758	1.692141522066e+00	9.461997808515e+18
2.4800089117e-04	0.81588374	27.21495208	1.594407560133e+00	8.915495922259e+18
2.6350094687e-04	0.86687647	28.91588659	1.693739187307e+00	9.470931520509e+18
2.7900100257e-04	0.91786921	30.61682109	1.891327993406e+00	1.057579469296e+19
2.9450105826e-04	0.96886194	32.31775560	2.819965233204e+00	1.576848301914e+19
3.1000111396e-04	1.01985467	34.01869010	2.391769997725e+00	1.337413105336e+19
3.2550116966e-04	1.07084741	35.71962461	2.188377930116e+00	1.223681761186e+19
3.4100122536e-04	1.12184014	37.42055911	2.860942388485e+00	1.599761619057e+19
3.5650128106e-04	1.17283287	39.12149362	2.475252356606e+00	1.384094182923e+19
3.7200133675e-04	1.22382561	40.82242813	2.591202417149e+00	1.448930321298e+19
3.8750139245e-04	1.27481834	42.52336263	2.682951483298e+00	1.500233918043e+19
4.0300144815e-04	1.32581107	44.22429714	2.191966041014e+00	1.225688135771e+19
4.1850150385e-04	1.37680381	45.92523164	2.387018385366e+00	1.334756132197e+19
4.3400155955e-04	1.42779654	47.62616615	2.072094956708e+00	1.158659466938e+19
4.4950161524e-04	1.47878928	49.32710065	2.171392633675e+00	1.214184042726e+19
